iteration,strategy,rl_model,data_group,portfolio_values
120,baseline,PPO,Group1,"2022-01-03    100000.000000
2022-01-04     99443.877690
2022-01-05     98048.090323
2022-01-06     98026.616263
2022-01-07     98076.514430
                  ...      
2023-12-22     86903.624589
2023-12-26     87137.072167
2023-12-27     87129.031970
2023-12-28     87156.794315
2023-12-29     87087.832972
Length: 501, dtype: float64"
120,baseline,PPO,Group2,"2022-01-03    100000.000000
2022-01-04     99472.269102
2022-01-05     98835.752087
2022-01-06     98598.063259
2022-01-07     98322.536907
                  ...      
2023-12-22     75960.934341
2023-12-26     76203.736382
2023-12-27     76236.234981
2023-12-28     76296.072838
2023-12-29     76190.874491
Length: 501, dtype: float64"
120,baseline,A2C,Group1,"2022-01-03    100000.000000
2022-01-04     99530.758157
2022-01-05     98174.007998
2022-01-06     98242.775192
2022-01-07     98136.656068
                  ...      
2023-12-22     96652.111704
2023-12-26     96880.130222
2023-12-27     96916.911130
2023-12-28     97004.131565
2023-12-29     96923.298114
Length: 501, dtype: float64"
120,baseline,A2C,Group2,"2022-01-03    100000.000000
2022-01-04     99458.659289
2022-01-05     99009.294524
2022-01-06     98758.526028
2022-01-07     98818.319472
                  ...      
2023-12-22     70118.886461
2023-12-26     70320.059124
2023-12-27     70432.983441
2023-12-28     70559.831997
2023-12-29     70432.621806
Length: 501, dtype: float64"
120,baseline,DDPG,Group1,"2022-01-03    100000.000000
2022-01-04     99455.403506
2022-01-05     98108.641455
2022-01-06     97977.884345
2022-01-07     98064.291997
                  ...      
2023-12-22    107249.492174
2023-12-26    107532.208884
2023-12-27    107597.695358
2023-12-28    107687.760059
2023-12-29    107775.792624
Length: 501, dtype: float64"
120,baseline,DDPG,Group2,"2022-01-03    100000.000000
2022-01-04     99839.677708
2022-01-05     99283.143611
2022-01-06     98651.002516
2022-01-07     98616.080407
                  ...      
2023-12-22     90747.998397
2023-12-26     91054.788111
2023-12-27     91203.814416
2023-12-28     91459.825713
2023-12-29     91420.206285
Length: 501, dtype: float64"
120,naive,PPO,Group1,"2022-01-03    100000.000000
2022-01-04     99633.853644
2022-01-05     98678.364611
2022-01-06     98791.810182
2022-01-07     98792.643747
                  ...      
2023-12-22     86472.883662
2023-12-26     86683.795274
2023-12-27     86726.281540
2023-12-28     86802.518718
2023-12-29     86790.471484
Length: 501, dtype: float64"
120,naive,PPO,Group2,"2022-01-03    100000.000000
2022-01-04    100054.125825
2022-01-05     99367.346084
2022-01-06     98982.730580
2022-01-07     98858.974291
                  ...      
2023-12-22     76080.999493
2023-12-26     76642.652665
2023-12-27     76634.417151
2023-12-28     76729.335898
2023-12-29     76590.010497
Length: 501, dtype: float64"
120,naive,A2C,Group1,"2022-01-03    100000.000000
2022-01-04     99487.504410
2022-01-05     98348.947385
2022-01-06     98423.520807
2022-01-07     98292.315557
                  ...      
2023-12-22     98262.037998
2023-12-26     98522.136850
2023-12-27     98568.297153
2023-12-28     98626.127844
2023-12-29     98571.983116
Length: 501, dtype: float64"
120,naive,A2C,Group2,"2022-01-03    100000.000000
2022-01-04    100187.164234
2022-01-05     99423.367795
2022-01-06     99241.509041
2022-01-07     99192.388093
                  ...      
2023-12-22     73361.433688
2023-12-26     73605.090843
2023-12-27     73662.561820
2023-12-28     73683.188630
2023-12-29     73613.447637
Length: 501, dtype: float64"
120,naive,DDPG,Group1,"2022-01-03    100000.000000
2022-01-04     99455.403506
2022-01-05     98108.641455
2022-01-06     97977.884345
2022-01-07     98064.291997
                  ...      
2023-12-22    107249.492174
2023-12-26    107532.208884
2023-12-27    107597.695358
2023-12-28    107687.760059
2023-12-29    107775.792624
Length: 501, dtype: float64"
120,naive,DDPG,Group2,"2022-01-03    100000.000000
2022-01-04     99839.677708
2022-01-05     99283.143611
2022-01-06     98651.002516
2022-01-07     98616.080407
                  ...      
2023-12-22     90747.998397
2023-12-26     91054.788111
2023-12-27     91203.814416
2023-12-28     91459.825713
2023-12-29     91420.206285
Length: 501, dtype: float64"
120,ewc,PPO,Group1,"2022-01-03    100000.000000
2022-01-04     99654.507707
2022-01-05     98685.791904
2022-01-06     98811.357066
2022-01-07     98598.210263
                  ...      
2023-12-22     94258.067604
2023-12-26     94482.069907
2023-12-27     94486.112104
2023-12-28     94503.474975
2023-12-29     94363.396728
Length: 501, dtype: float64"
120,ewc,PPO,Group2,"2022-01-03    100000.000000
2022-01-04     99542.846811
2022-01-05     98991.003763
2022-01-06     98590.927499
2022-01-07     98172.503973
                  ...      
2023-12-22     73344.413309
2023-12-26     73647.448422
2023-12-27     73680.337138
2023-12-28     73783.970322
2023-12-29     73659.701024
Length: 501, dtype: float64"
120,ewc,A2C,Group1,"2022-01-03    100000.000000
2022-01-04     99488.847998
2022-01-05     98047.494156
2022-01-06     98115.034235
2022-01-07     97934.810856
                  ...      
2023-12-22    105363.360890
2023-12-26    105653.248760
2023-12-27    105712.119535
2023-12-28    105777.210036
2023-12-29    105665.126890
Length: 501, dtype: float64"
120,ewc,A2C,Group2,"2022-01-03    100000.000000
2022-01-04     99707.292324
2022-01-05     99148.631561
2022-01-06     98914.505407
2022-01-07     98941.132243
                  ...      
2023-12-22     81293.231529
2023-12-26     81531.461612
2023-12-27     81583.252476
2023-12-28     81711.605546
2023-12-29     81640.110314
Length: 501, dtype: float64"
120,ewc,DDPG,Group1,"2022-01-03    100000.000000
2022-01-04     99455.403506
2022-01-05     98108.641455
2022-01-06     97977.884345
2022-01-07     98064.291997
                  ...      
2023-12-22    107249.492174
2023-12-26    107532.208884
2023-12-27    107597.695358
2023-12-28    107687.760059
2023-12-29    107775.792624
Length: 501, dtype: float64"
120,ewc,DDPG,Group2,"2022-01-03    100000.000000
2022-01-04     99839.677708
2022-01-05     99283.143611
2022-01-06     98651.002516
2022-01-07     98616.080407
                  ...      
2023-12-22     90747.998397
2023-12-26     91054.788111
2023-12-27     91203.814416
2023-12-28     91459.825713
2023-12-29     91420.206285
Length: 501, dtype: float64"
120,replay,PPO,Group1,"2022-01-03    100000.000000
2022-01-04     99511.520503
2022-01-05     97744.861518
2022-01-06     97642.828538
2022-01-07     97693.353997
                  ...      
2023-12-22     85182.269308
2023-12-26     85377.518769
2023-12-27     85394.556409
2023-12-28     85391.893456
2023-12-29     85375.246157
Length: 501, dtype: float64"
120,replay,PPO,Group2,"2022-01-03    100000.000000
2022-01-04     99695.710212
2022-01-05     99337.050145
2022-01-06     99092.156642
2022-01-07     98953.701254
                  ...      
2023-12-22     75730.229864
2023-12-26     76279.568121
2023-12-27     76389.815866
2023-12-28     76527.321397
2023-12-29     76430.539176
Length: 501, dtype: float64"
120,replay,A2C,Group1,"2022-01-03    100000.000000
2022-01-04     99561.429721
2022-01-05     98293.505988
2022-01-06     98362.198740
2022-01-07     98277.973121
                  ...      
2023-12-22     99925.703291
2023-12-26    100099.690980
2023-12-27    100112.085942
2023-12-28    100216.638927
2023-12-29    100200.661673
Length: 501, dtype: float64"
120,replay,A2C,Group2,"2022-01-03    100000.000000
2022-01-04     99713.958718
2022-01-05     99485.714289
2022-01-06     98965.195664
2022-01-07     99131.868908
                  ...      
2023-12-22     75428.984519
2023-12-26     75708.517245
2023-12-27     75802.940360
2023-12-28     75939.937117
2023-12-29     75884.235341
Length: 501, dtype: float64"
120,replay,DDPG,Group1,"2022-01-03    100000.000000
2022-01-04     99455.403506
2022-01-05     98108.641455
2022-01-06     97977.884345
2022-01-07     98064.291997
                  ...      
2023-12-22    107249.492174
2023-12-26    107532.208884
2023-12-27    107597.695358
2023-12-28    107687.760059
2023-12-29    107775.792624
Length: 501, dtype: float64"
120,replay,DDPG,Group2,"2022-01-03    100000.000000
2022-01-04     99839.677708
2022-01-05     99283.143611
2022-01-06     98651.002516
2022-01-07     98616.080407
                  ...      
2023-12-22     90747.998397
2023-12-26     91054.788111
2023-12-27     91203.814416
2023-12-28     91459.825713
2023-12-29     91420.206285
Length: 501, dtype: float64"
