iteration,strategy,rl_model,data_group,portfolio_values
151,baseline,PPO,Group1,"2022-01-03    100000.000000
2022-01-04     99396.760458
2022-01-05     98619.407698
2022-01-06     98342.049113
2022-01-07     97979.145415
                  ...      
2023-12-22     83073.678843
2023-12-26     83370.059896
2023-12-27     83395.257020
2023-12-28     83431.857574
2023-12-29     83287.412446
Length: 501, dtype: float64"
151,baseline,PPO,Group2,"2022-01-03    100000.000000
2022-01-04     99815.310741
2022-01-05     99156.475137
2022-01-06     99263.007643
2022-01-07     99140.498032
                  ...      
2023-12-22     84286.143782
2023-12-26     84569.358512
2023-12-27     84604.445328
2023-12-28     84712.767023
2023-12-29     84620.808942
Length: 501, dtype: float64"
151,baseline,A2C,Group1,"2022-01-03    100000.000000
2022-01-04     99340.838087
2022-01-05     98597.083400
2022-01-06     98289.421428
2022-01-07     97986.439751
                  ...      
2023-12-22     88892.498993
2023-12-26     89413.951850
2023-12-27     89435.043161
2023-12-28     89524.898638
2023-12-29     89404.811122
Length: 501, dtype: float64"
151,baseline,A2C,Group2,"2022-01-03    100000.000000
2022-01-04    100399.449449
2022-01-05     99784.221241
2022-01-06     99752.061810
2022-01-07     99730.935223
                  ...      
2023-12-22     84793.293290
2023-12-26     84946.002782
2023-12-27     85024.181984
2023-12-28     85138.496028
2023-12-29     85113.131663
Length: 501, dtype: float64"
151,baseline,DDPG,Group1,"2022-01-03    100000.000000
2022-01-04     99295.733432
2022-01-05     98738.786208
2022-01-06     98277.123271
2022-01-07     98082.294658
                  ...      
2023-12-22     99272.811662
2023-12-26     99977.828900
2023-12-27    100131.913944
2023-12-28    100108.317208
2023-12-29     99989.034928
Length: 501, dtype: float64"
151,baseline,DDPG,Group2,"2022-01-03    100000.000000
2022-01-04    100308.907426
2022-01-05     99838.909695
2022-01-06     99663.712690
2022-01-07     99956.930793
                  ...      
2023-12-22    100851.044053
2023-12-26    101077.297393
2023-12-27    101225.790770
2023-12-28    101362.265762
2023-12-29    101366.941750
Length: 501, dtype: float64"
151,naive,PPO,Group1,"2022-01-03    100000.000000
2022-01-04     99407.755355
2022-01-05     98089.278875
2022-01-06     97532.659679
2022-01-07     97199.172517
                  ...      
2023-12-22     83190.179552
2023-12-26     83454.171144
2023-12-27     83518.547043
2023-12-28     83638.064429
2023-12-29     83548.435887
Length: 501, dtype: float64"
151,naive,PPO,Group2,"2022-01-03    100000.000000
2022-01-04     99942.067917
2022-01-05     98714.729125
2022-01-06     98523.864363
2022-01-07     98939.596085
                  ...      
2023-12-22     88499.611874
2023-12-26     88730.144953
2023-12-27     88795.047132
2023-12-28     88879.133501
2023-12-29     88807.743794
Length: 501, dtype: float64"
151,naive,A2C,Group1,"2022-01-03    100000.000000
2022-01-04     99133.333237
2022-01-05     98427.421504
2022-01-06     98099.300736
2022-01-07     97940.177636
                  ...      
2023-12-22     90178.126629
2023-12-26     90514.447401
2023-12-27     90545.244468
2023-12-28     90592.442022
2023-12-29     90471.787028
Length: 501, dtype: float64"
151,naive,A2C,Group2,"2022-01-03    100000.000000
2022-01-04     99745.706984
2022-01-05     99103.117201
2022-01-06     98917.014412
2022-01-07     99081.996755
                  ...      
2023-12-22     85320.682885
2023-12-26     85523.176770
2023-12-27     85660.661839
2023-12-28     85786.523147
2023-12-29     85811.546054
Length: 501, dtype: float64"
151,naive,DDPG,Group1,"2022-01-03    100000.000000
2022-01-04     99295.733432
2022-01-05     98738.786208
2022-01-06     98277.123271
2022-01-07     98082.294658
                  ...      
2023-12-22     99272.811662
2023-12-26     99977.828900
2023-12-27    100131.913944
2023-12-28    100108.317208
2023-12-29     99989.034928
Length: 501, dtype: float64"
151,naive,DDPG,Group2,"2022-01-03    100000.000000
2022-01-04    100308.907426
2022-01-05     99838.909695
2022-01-06     99663.712690
2022-01-07     99956.930793
                  ...      
2023-12-22    100851.044053
2023-12-26    101077.297393
2023-12-27    101225.790770
2023-12-28    101362.265762
2023-12-29    101366.941750
Length: 501, dtype: float64"
151,ewc,PPO,Group1,"2022-01-03    100000.000000
2022-01-04     99359.153185
2022-01-05     98856.752380
2022-01-06     98387.758738
2022-01-07     98107.265473
                  ...      
2023-12-22     79738.003778
2023-12-26     79973.646643
2023-12-27     79941.367207
2023-12-28     79987.659794
2023-12-29     79858.803372
Length: 501, dtype: float64"
151,ewc,PPO,Group2,"2022-01-03    100000.000000
2022-01-04     99930.477008
2022-01-05     98936.659529
2022-01-06     98915.540733
2022-01-07     99095.879098
                  ...      
2023-12-22     77200.081697
2023-12-26     77402.588462
2023-12-27     77442.564067
2023-12-28     77432.299995
2023-12-29     77393.549314
Length: 501, dtype: float64"
151,ewc,A2C,Group1,"2022-01-03    100000.000000
2022-01-04     99239.316296
2022-01-05     98188.035719
2022-01-06     97864.803704
2022-01-07     97798.901023
                  ...      
2023-12-22     88314.704305
2023-12-26     88706.413561
2023-12-27     88755.296240
2023-12-28     88842.424049
2023-12-29     88715.722934
Length: 501, dtype: float64"
151,ewc,A2C,Group2,"2022-01-03    100000.000000
2022-01-04    100337.494466
2022-01-05     99392.393347
2022-01-06     99530.196238
2022-01-07     99901.000076
                  ...      
2023-12-22     97320.171598
2023-12-26     97603.255104
2023-12-27     97731.322634
2023-12-28     97799.818891
2023-12-29     97704.536284
Length: 501, dtype: float64"
151,ewc,DDPG,Group1,"2022-01-03    100000.000000
2022-01-04     99295.733432
2022-01-05     98738.786208
2022-01-06     98277.123271
2022-01-07     98082.294658
                  ...      
2023-12-22     99272.811662
2023-12-26     99977.828900
2023-12-27    100131.913944
2023-12-28    100108.317208
2023-12-29     99989.034928
Length: 501, dtype: float64"
151,ewc,DDPG,Group2,"2022-01-03    100000.000000
2022-01-04    100308.907426
2022-01-05     99838.909695
2022-01-06     99663.712690
2022-01-07     99956.930793
                  ...      
2023-12-22    100851.044053
2023-12-26    101077.297393
2023-12-27    101225.790770
2023-12-28    101362.265762
2023-12-29    101366.941750
Length: 501, dtype: float64"
151,replay,PPO,Group1,"2022-01-03    100000.000000
2022-01-04     99139.894519
2022-01-05     97736.663444
2022-01-06     97292.881780
2022-01-07     97297.775638
                  ...      
2023-12-22     79355.389117
2023-12-26     79562.583349
2023-12-27     79555.519855
2023-12-28     79643.138305
2023-12-29     79582.027717
Length: 501, dtype: float64"
151,replay,PPO,Group2,"2022-01-03    100000.000000
2022-01-04    100042.283483
2022-01-05     98617.716207
2022-01-06     98269.482461
2022-01-07     98059.861994
                  ...      
2023-12-22     82462.272624
2023-12-26     82740.207410
2023-12-27     82767.223094
2023-12-28     82799.101614
2023-12-29     82707.593422
Length: 501, dtype: float64"
151,replay,A2C,Group1,"2022-01-03    100000.000000
2022-01-04     99358.191470
2022-01-05     98467.861147
2022-01-06     98071.489774
2022-01-07     98102.799304
                  ...      
2023-12-22     95712.795836
2023-12-26     96189.480395
2023-12-27     96301.498350
2023-12-28     96434.290173
2023-12-29     96315.226591
Length: 501, dtype: float64"
151,replay,A2C,Group2,"2022-01-03    100000.000000
2022-01-04    100353.998835
2022-01-05     99591.293779
2022-01-06     99639.494251
2022-01-07     99890.668791
                  ...      
2023-12-22     87732.513350
2023-12-26     88031.768170
2023-12-27     88103.033815
2023-12-28     88208.419622
2023-12-29     88188.187909
Length: 501, dtype: float64"
151,replay,DDPG,Group1,"2022-01-03    100000.000000
2022-01-04     99295.733432
2022-01-05     98738.786208
2022-01-06     98277.123271
2022-01-07     98082.294658
                  ...      
2023-12-22     99272.811662
2023-12-26     99977.828900
2023-12-27    100131.913944
2023-12-28    100108.317208
2023-12-29     99989.034928
Length: 501, dtype: float64"
151,replay,DDPG,Group2,"2022-01-03    100000.000000
2022-01-04    100308.907426
2022-01-05     99838.909695
2022-01-06     99663.712690
2022-01-07     99956.930793
                  ...      
2023-12-22    100851.044053
2023-12-26    101077.297393
2023-12-27    101225.790770
2023-12-28    101362.265762
2023-12-29    101366.941750
Length: 501, dtype: float64"
