Cumulative Return,Volatility (Standard Deviation of Returns),Sharpe Ratio,Sortino Ratio,Maximum Drawdown,Calmar Ratio,Alpha,Beta,VaR (95%),iteration,strategy,rl_model,data_group
-0.2502588928554633,0.1969395563395397,-0.6000293944882676,-0.8789719064229575,-0.37325645579944516,-0.31659070032186093,,,-0.020530306483541927,106,baseline,PPO,Group1
-0.09090878021650875,0.15570935557873866,-0.22674099185465088,-0.34482741093898994,-0.24151764995711036,-0.14618266504018004,,,-0.015894619974712004,106,baseline,PPO,Group2
-0.04678815087358045,0.19989133266537792,-0.020908031587976696,-0.030924318319913387,-0.33132637392670905,-0.012613949949106579,,,-0.02003816417715974,106,baseline,A2C,Group1
-0.1233258720969387,0.15264414201643473,-0.3487675360407097,-0.527568975020236,-0.22589651099094485,-0.23567128623891917,,,-0.01602318205142183,106,baseline,A2C,Group2
0.0002854240839566046,0.19340053033188856,0.09827874736087082,0.14782606434716328,-0.29360344472701383,0.06473753016630496,,,-0.01834147131104775,106,baseline,DDPG,Group1
0.08869356383592181,0.16254867457673042,0.35436346537902247,0.5386876796333997,-0.17367796992104156,0.3316558320088853,,,-0.01606049061483173,106,baseline,DDPG,Group2
-0.2249551139196819,0.19782368808535425,-0.5215089464194763,-0.7962531355326657,-0.37140004784944003,-0.2777781633243905,,,-0.01985427016960558,106,naive,PPO,Group1
-0.14559377128755893,0.1540164367132576,-0.42357216362449596,-0.644701393815657,-0.22853637132313248,-0.28545598652273024,,,-0.01600747070980932,106,naive,PPO,Group2
-0.10732106897346705,0.1993648879127837,-0.18393686095067668,-0.2772149565675054,-0.33427850267914866,-0.10970059807183749,,,-0.020121463156450976,106,naive,A2C,Group1
-0.09966964409577544,0.1598136583143349,-0.2463943661642226,-0.3792897720553865,-0.2403068572503382,-0.16386209488697714,,,-0.0170153377595128,106,naive,A2C,Group2
0.0002854240839566046,0.19340053033188856,0.09827874736087082,0.14782606434716328,-0.29360344472701383,0.06473753016630496,,,-0.01834147131104775,106,naive,DDPG,Group1
0.08869356383592181,0.16254867457673042,0.35436346537902247,0.5386876796333997,-0.17367796992104156,0.3316558320088853,,,-0.01606049061483173,106,naive,DDPG,Group2
-0.1705979543065754,0.19768827474930561,-0.36416561254779045,-0.5223999432371674,-0.36961303173251225,-0.19477471162244253,,,-0.019947199684646227,106,ewc,PPO,Group1
-0.13210035178313104,0.1550108692498317,-0.3721205851851791,-0.5735517684191676,-0.23552148590021948,-0.24491496032658522,,,-0.016170685142543884,106,ewc,PPO,Group2
-0.10233695227657023,0.19988426213878577,-0.16933512266809947,-0.2492236865444723,-0.33429570460195784,-0.10124995799451145,,,-0.019379698754724804,106,ewc,A2C,Group1
0.04762637312933468,0.1598512457857235,0.23056050756246493,0.3540822893928318,-0.17564750021753042,0.20982584048850816,,,-0.01644236661002848,106,ewc,A2C,Group2
0.0002854240839566046,0.19340053033188856,0.09827874736087082,0.14782606434716328,-0.29360344472701383,0.06473753016630496,,,-0.01834147131104775,106,ewc,DDPG,Group1
0.08869356383592181,0.16254867457673042,0.35436346537902247,0.5386876796333997,-0.17367796992104156,0.3316558320088853,,,-0.01606049061483173,106,ewc,DDPG,Group2
-0.1875986308329893,0.19438622952203927,-0.4230972493191115,-0.6364037369759418,-0.32025233588466423,-0.25681086381180296,,,-0.017882201727284625,106,replay,PPO,Group1
-0.1406642107476134,0.15323851829649177,-0.4087992863312526,-0.6376130967828353,-0.2178641531685107,-0.2875360448564089,,,-0.0157391850197017,106,replay,PPO,Group2
-0.02183706568442256,0.19668673802290643,0.041780047241422355,0.0647592921317001,-0.30508378997694324,0.02693548945022395,,,-0.019062658093987793,106,replay,A2C,Group1
-0.07366250669844769,0.14232937851253533,-0.1971057459594751,-0.29811044572480205,-0.18270343437594694,-0.15354904750140314,,,-0.014477382310711622,106,replay,A2C,Group2
0.0002854240839566046,0.19340053033188856,0.09827874736087082,0.14782606434716328,-0.29360344472701383,0.06473753016630496,,,-0.01834147131104775,106,replay,DDPG,Group1
0.08869356383592181,0.16254867457673042,0.35436346537902247,0.5386876796333997,-0.17367796992104156,0.3316558320088853,,,-0.01606049061483173,106,replay,DDPG,Group2
-0.12854219794670732,0.19025978830859336,-0.2625888063282656,-0.39834204882030533,-0.338211527817704,-0.14771847378055816,,,-0.019345865886549823,107,baseline,PPO,Group1
-0.1663043118068714,0.1599956314496092,-0.47408064929629884,-0.7021938749655724,-0.2430970273059237,-0.3120187592699278,,,-0.016506341017476188,107,baseline,PPO,Group2
-0.15193498246254297,0.1783044733905854,-0.36434208885136726,-0.5446132599618112,-0.3411005412923411,-0.1904535948273137,,,-0.017778242056497483,107,baseline,A2C,Group1
-0.14828877855673286,0.15968856908083792,-0.4126418877582731,-0.6110615676582153,-0.2566119234593117,-0.2567853890444125,,,-0.016757265368613262,107,baseline,A2C,Group2
-0.01996773914806341,0.19095543421812872,0.04231833806720636,0.06325888206693212,-0.2942659614076761,0.027461268650836767,,,-0.017791460871185674,107,baseline,DDPG,Group1
0.06614714140282682,0.15847333982483122,0.28921128454667927,0.4316321257123839,-0.1803487860197942,0.25413133733049653,,,-0.015953619502550448,107,baseline,DDPG,Group2
-0.23702305716821953,0.19086028433186353,-0.5837766661460668,-0.8766403888812306,-0.3809264979884779,-0.2924967968238215,,,-0.018791146381928983,107,naive,PPO,Group1
-0.1417333001197291,0.15962963566426205,-0.3901315483252514,-0.5708777623883228,-0.24463162920951625,-0.25457279224902346,,,-0.017002755005260724,107,naive,PPO,Group2
