iteration,strategy,rl_model,data_group,portfolio_values
121,baseline,PPO,Group1,"2022-01-03    100000.000000
2022-01-04     99391.902650
2022-01-05     98715.865925
2022-01-06     97985.109557
2022-01-07     98092.883386
                  ...      
2023-12-22     75066.655036
2023-12-26     75529.542888
2023-12-27     75575.858284
2023-12-28     75640.910102
2023-12-29     75592.786425
Length: 501, dtype: float64"
121,baseline,PPO,Group2,"2022-01-03    100000.000000
2022-01-04     99737.155061
2022-01-05     98401.688995
2022-01-06     98697.510529
2022-01-07     98747.848097
                  ...      
2023-12-22     92227.590793
2023-12-26     92424.478362
2023-12-27     92460.897464
2023-12-28     92575.538910
2023-12-29     92431.511113
Length: 501, dtype: float64"
121,baseline,A2C,Group1,"2022-01-03    100000.000000
2022-01-04     99400.019277
2022-01-05     98941.663011
2022-01-06     98405.045263
2022-01-07     98300.568025
                  ...      
2023-12-22     76755.191129
2023-12-26     77012.301336
2023-12-27     77042.119922
2023-12-28     77075.336332
2023-12-29     77028.194104
Length: 501, dtype: float64"
121,baseline,A2C,Group2,"2022-01-03    100000.000000
2022-01-04    100416.548265
2022-01-05     98512.952981
2022-01-06     98805.158344
2022-01-07     99003.507101
                  ...      
2023-12-22     92736.687169
2023-12-26     92879.910975
2023-12-27     92949.403907
2023-12-28     93105.035932
2023-12-29     93025.226707
Length: 501, dtype: float64"
121,baseline,DDPG,Group1,"2022-01-03    100000.000000
2022-01-04     99301.640290
2022-01-05     98861.999824
2022-01-06     98357.513727
2022-01-07     98449.647143
                  ...      
2023-12-22     89339.866024
2023-12-26     89876.715169
2023-12-27     89954.520819
2023-12-28     90054.584130
2023-12-29     90041.972234
Length: 501, dtype: float64"
121,baseline,DDPG,Group2,"2022-01-03    100000.000000
2022-01-04     99981.900727
2022-01-05     98538.023405
2022-01-06     98847.157330
2022-01-07     98729.305447
                  ...      
2023-12-22    109977.217023
2023-12-26    110303.045909
2023-12-27    110370.414363
2023-12-28    110513.249891
2023-12-29    110443.000823
Length: 501, dtype: float64"
121,naive,PPO,Group1,"2022-01-03    100000.000000
2022-01-04     99564.751620
2022-01-05     99097.265511
2022-01-06     98087.695017
2022-01-07     97975.330598
                  ...      
2023-12-22     72894.878956
2023-12-26     73227.238056
2023-12-27     73330.580844
2023-12-28     73369.016430
2023-12-29     73257.306013
Length: 501, dtype: float64"
121,naive,PPO,Group2,"2022-01-03    100000.000000
2022-01-04    100215.143488
2022-01-05     99281.836474
2022-01-06     99495.236050
2022-01-07     99291.921872
                  ...      
2023-12-22     97165.836426
2023-12-26     97347.480871
2023-12-27     97407.296599
2023-12-28     97487.928717
2023-12-29     97378.367504
Length: 501, dtype: float64"
121,naive,A2C,Group1,"2022-01-03    100000.000000
2022-01-04     98819.197057
2022-01-05     98375.467648
2022-01-06     97921.140604
2022-01-07     97976.141513
                  ...      
2023-12-22     79114.114654
2023-12-26     79411.336348
2023-12-27     79468.394684
2023-12-28     79525.246619
2023-12-29     79476.713200
Length: 501, dtype: float64"
121,naive,A2C,Group2,"2022-01-03    100000.000000
2022-01-04    100317.625529
2022-01-05     98552.018557
2022-01-06     98909.894341
2022-01-07     98738.005268
                  ...      
2023-12-22    103138.385681
2023-12-26    103461.472498
2023-12-27    103504.855383
2023-12-28    103493.291591
2023-12-29    103309.271369
Length: 501, dtype: float64"
121,naive,DDPG,Group1,"2022-01-03    100000.000000
2022-01-04     99301.640290
2022-01-05     98861.999824
2022-01-06     98357.513727
2022-01-07     98449.647143
                  ...      
2023-12-22     89339.866024
2023-12-26     89876.715169
2023-12-27     89954.520819
2023-12-28     90054.584130
2023-12-29     90041.972234
Length: 501, dtype: float64"
