iteration,strategy,rl_model,data_group,portfolio_values
131,baseline,PPO,Group1,"2022-01-03    100000.000000
2022-01-04     99424.534418
2022-01-05     99057.736612
2022-01-06     98312.493968
2022-01-07     98516.267539
                  ...      
2023-12-22     84428.711669
2023-12-26     84893.272080
2023-12-27     84937.532811
2023-12-28     84984.123829
2023-12-29     84818.506569
Length: 501, dtype: float64"
131,baseline,PPO,Group2,"2022-01-03    100000.000000
2022-01-04     99916.584629
2022-01-05     98984.664668
2022-01-06     99196.513877
2022-01-07     99095.170806
                  ...      
2023-12-22     85894.322862
2023-12-26     86123.394650
2023-12-27     86180.925405
2023-12-28     86115.450569
2023-12-29     86104.486490
Length: 501, dtype: float64"
131,baseline,A2C,Group1,"2022-01-03    100000.000000
2022-01-04     99581.753833
2022-01-05     98668.492427
2022-01-06     98299.107297
2022-01-07     98291.103417
                  ...      
2023-12-22     84823.397621
2023-12-26     85040.458734
2023-12-27     85086.103997
2023-12-28     85201.065404
2023-12-29     85054.335146
Length: 501, dtype: float64"
131,baseline,A2C,Group2,"2022-01-03    100000.000000
2022-01-04    100351.710276
2022-01-05     99506.328811
2022-01-06     99749.173840
2022-01-07     99613.979187
                  ...      
2023-12-22     88344.032211
2023-12-26     88710.387152
2023-12-27     88745.521234
2023-12-28     88844.249378
2023-12-29     88795.074185
Length: 501, dtype: float64"
131,baseline,DDPG,Group1,"2022-01-03    100000.000000
2022-01-04     99342.551290
2022-01-05     98109.921121
2022-01-06     97413.867225
2022-01-07     97469.714741
                  ...      
2023-12-22     95056.078876
2023-12-26     95357.611211
2023-12-27     95485.952802
2023-12-28     95663.153193
2023-12-29     95461.254683
Length: 501, dtype: float64"
131,baseline,DDPG,Group2,"2022-01-03    100000.000000
2022-01-04     99767.571338
2022-01-05     98947.340641
2022-01-06     99000.951312
2022-01-07     99031.932765
                  ...      
2023-12-22    104854.320080
2023-12-26    105119.141646
2023-12-27    105243.513803
2023-12-28    105373.041194
2023-12-29    105456.001876
Length: 501, dtype: float64"
131,naive,PPO,Group1,"2022-01-03    100000.000000
2022-01-04     99525.486252
2022-01-05     98711.033765
2022-01-06     98165.351223
2022-01-07     98293.392649
                  ...      
2023-12-22     77505.314027
2023-12-26     77697.490737
2023-12-27     77757.960106
2023-12-28     77859.455805
2023-12-29     77755.123079
Length: 501, dtype: float64"
131,naive,PPO,Group2,"2022-01-03    100000.000000
2022-01-04    100225.374918
2022-01-05     99349.668927
2022-01-06     99664.638132
2022-01-07     99309.112299
                  ...      
2023-12-22     85224.295619
2023-12-26     85412.469173
2023-12-27     85465.151087
2023-12-28     85495.090594
2023-12-29     85458.610041
Length: 501, dtype: float64"
131,naive,A2C,Group1,"2022-01-03    100000.000000
2022-01-04     99614.023117
2022-01-05     98434.106831
2022-01-06     97979.082951
2022-01-07     98097.782516
                  ...      
2023-12-22     78012.432034
2023-12-26     78488.251607
2023-12-27     78470.262562
2023-12-28     78526.743032
2023-12-29     78370.237029
Length: 501, dtype: float64"
131,naive,A2C,Group2,"2022-01-03    100000.000000
2022-01-04    100167.615556
2022-01-05     99487.567077
2022-01-06     99800.591616
2022-01-07     99909.593291
                  ...      
2023-12-22     97429.798989
2023-12-26     97788.829169
2023-12-27     97842.390678
2023-12-28     97922.052886
2023-12-29     97970.946257
Length: 501, dtype: float64"
131,naive,DDPG,Group1,"2022-01-03    100000.000000
2022-01-04     99342.551290
2022-01-05     98109.921121
2022-01-06     97413.867225
2022-01-07     97469.714741
                  ...      
2023-12-22     95056.078876
2023-12-26     95357.611211
2023-12-27     95485.952802
2023-12-28     95663.153193
2023-12-29     95461.254683
Length: 501, dtype: float64"
131,naive,DDPG,Group2,"2022-01-03    100000.000000
2022-01-04     99767.571338
2022-01-05     98947.340641
2022-01-06     99000.951312
2022-01-07     99031.932765
                  ...      
2023-12-22    104854.320080
2023-12-26    105119.141646
2023-12-27    105243.513803
2023-12-28    105373.041194
2023-12-29    105456.001876
Length: 501, dtype: float64"
131,ewc,PPO,Group1,"2022-01-03    100000.000000
2022-01-04     99514.299420
2022-01-05     98544.166593
2022-01-06     97731.974768
2022-01-07     97782.774125
                  ...      
2023-12-22     74226.912550
2023-12-26     74721.582003
2023-12-27     74772.235927
2023-12-28     74922.338544
2023-12-29     74836.834720
Length: 501, dtype: float64"
131,ewc,PPO,Group2,"2022-01-03    100000.000000
2022-01-04     99966.228994
2022-01-05     99427.743136
2022-01-06     99643.407008
2022-01-07     99700.132851
                  ...      
2023-12-22     87731.397161
2023-12-26     88039.303603
2023-12-27     88043.459193
2023-12-28     88112.556358
2023-12-29     88099.249464
Length: 501, dtype: float64"
131,ewc,A2C,Group1,"2022-01-03    100000.000000
2022-01-04     99873.851817
2022-01-05     99109.700131
2022-01-06     98663.019728
2022-01-07     98927.907284
                  ...      
2023-12-22     85584.672933
2023-12-26     85918.635991
2023-12-27     86029.875394
2023-12-28     86134.457497
2023-12-29     86036.520148
Length: 501, dtype: float64"
131,ewc,A2C,Group2,"2022-01-03    100000.000000
2022-01-04    100087.013636
2022-01-05     99015.322790
2022-01-06     99461.748921
2022-01-07     99108.855686
                  ...      
2023-12-22    100712.219816
2023-12-26    101130.407475
2023-12-27    101167.347609
2023-12-28    101158.264088
2023-12-29    101102.881974
Length: 501, dtype: float64"
131,ewc,DDPG,Group1,"2022-01-03    100000.000000
2022-01-04     99342.551290
2022-01-05     98109.921121
2022-01-06     97413.867225
2022-01-07     97469.714741
                  ...      
2023-12-22     95056.078876
2023-12-26     95357.611211
2023-12-27     95485.952802
2023-12-28     95663.153193
2023-12-29     95461.254683
Length: 501, dtype: float64"
131,ewc,DDPG,Group2,"2022-01-03    100000.000000
2022-01-04     99767.571338
2022-01-05     98947.340641
2022-01-06     99000.951312
2022-01-07     99031.932765
                  ...      
2023-12-22    104854.320080
2023-12-26    105119.141646
2023-12-27    105243.513803
2023-12-28    105373.041194
2023-12-29    105456.001876
Length: 501, dtype: float64"
131,replay,PPO,Group1,"2022-01-03    100000.000000
2022-01-04     99959.832622
2022-01-05     99322.080038
2022-01-06     98666.385156
2022-01-07     98668.295236
                  ...      
2023-12-22     77601.131107
2023-12-26     78118.816481
2023-12-27     78113.362554
2023-12-28     78208.984990
2023-12-29     78082.317275
Length: 501, dtype: float64"
131,replay,PPO,Group2,"2022-01-03    100000.000000
2022-01-04    100246.420227
2022-01-05     99070.520794
2022-01-06     99304.718389
2022-01-07     98966.799407
                  ...      
2023-12-22     88979.524009
2023-12-26     89303.648833
2023-12-27     89306.040702
2023-12-28     89389.638604
2023-12-29     89386.716908
Length: 501, dtype: float64"
131,replay,A2C,Group1,"2022-01-03    100000.000000
2022-01-04    100106.747913
2022-01-05     99046.608798
2022-01-06     98532.995160
2022-01-07     98568.825000
                  ...      
2023-12-22     77820.230088
2023-12-26     78031.684552
2023-12-27     78034.493034
2023-12-28     78141.358328
2023-12-29     77997.099648
Length: 501, dtype: float64"
