iteration,strategy,rl_model,data_group,portfolio_values
128,baseline,PPO,Group1,"2022-01-03    100000.000000
2022-01-04     99888.590230
2022-01-05     98863.943728
2022-01-06     98607.925543
2022-01-07     98475.064187
                  ...      
2023-12-22     80836.831496
2023-12-26     81083.879466
2023-12-27     80942.726819
2023-12-28     80930.606023
2023-12-29     80848.165903
Length: 501, dtype: float64"
128,baseline,PPO,Group2,"2022-01-03    100000.000000
2022-01-04     99549.469403
2022-01-05     98915.208299
2022-01-06     98528.569837
2022-01-07     98555.264878
                  ...      
2023-12-22     81452.948685
2023-12-26     81651.206072
2023-12-27     81836.536736
2023-12-28     81992.220965
2023-12-29     81852.809088
Length: 501, dtype: float64"
128,baseline,A2C,Group1,"2022-01-03    100000.000000
2022-01-04     99819.288403
2022-01-05     98782.488847
2022-01-06     98360.993548
2022-01-07     98170.009748
                  ...      
2023-12-22     81252.832669
2023-12-26     81817.658755
2023-12-27     81804.992264
2023-12-28     81732.827161
2023-12-29     81714.179962
Length: 501, dtype: float64"
128,baseline,A2C,Group2,"2022-01-03    100000.000000
2022-01-04     99895.802232
2022-01-05     98986.671868
2022-01-06     98800.870687
2022-01-07     98891.905221
                  ...      
2023-12-22     88543.893794
2023-12-26     88703.632237
2023-12-27     88909.336816
2023-12-28     89067.804610
2023-12-29     88920.584266
Length: 501, dtype: float64"
128,baseline,DDPG,Group1,"2022-01-03    100000.000000
2022-01-04     99776.379222
2022-01-05     99092.355382
2022-01-06     98875.072094
2022-01-07     98978.920347
                  ...      
2023-12-22    102332.592482
2023-12-26    102881.853337
2023-12-27    102866.259083
2023-12-28    102890.986927
2023-12-29    102927.411260
Length: 501, dtype: float64"
128,baseline,DDPG,Group2,"2022-01-03    100000.000000
2022-01-04     99413.025168
2022-01-05     98453.051057
2022-01-06     98005.098557
2022-01-07     97853.165358
                  ...      
2023-12-22    103241.295351
2023-12-26    103463.764153
2023-12-27    103714.208902
2023-12-28    103996.147604
2023-12-29    103863.491329
Length: 501, dtype: float64"
128,naive,PPO,Group1,"2022-01-03    100000.000000
2022-01-04     99854.798777
2022-01-05     98769.863283
2022-01-06     98773.256989
2022-01-07     98897.374026
                  ...      
2023-12-22     86072.354527
2023-12-26     86493.448558
2023-12-27     86418.220952
2023-12-28     86393.205336
2023-12-29     86325.531113
Length: 501, dtype: float64"
128,naive,PPO,Group2,"2022-01-03    100000.000000
2022-01-04     99529.160963
2022-01-05     98569.133927
2022-01-06     98625.266885
2022-01-07     98669.219638
                  ...      
2023-12-22     82931.901348
2023-12-26     83109.758227
2023-12-27     83280.403825
2023-12-28     83486.726150
2023-12-29     83305.461984
Length: 501, dtype: float64"
128,naive,A2C,Group1,"2022-01-03    100000.000000
2022-01-04     99882.138441
2022-01-05     98785.501090
2022-01-06     98473.816845
2022-01-07     98373.918372
                  ...      
2023-12-22     84150.469268
2023-12-26     84586.000819
2023-12-27     84527.848620
2023-12-28     84463.533942
2023-12-29     84409.573392
Length: 501, dtype: float64"
128,naive,A2C,Group2,"2022-01-03    100000.000000
2022-01-04     99525.841723
2022-01-05     98758.640273
2022-01-06     98111.304236
2022-01-07     97984.180904
                  ...      
2023-12-22     90970.775312
2023-12-26     91143.747361
2023-12-27     91394.971282
2023-12-28     91647.128724
2023-12-29     91500.675745
Length: 501, dtype: float64"
128,naive,DDPG,Group1,"2022-01-03    100000.000000
2022-01-04     99776.379222
2022-01-05     99092.355382
2022-01-06     98875.072094
2022-01-07     98978.920347
                  ...      
2023-12-22    102332.592482
2023-12-26    102881.853337
2023-12-27    102866.259083
2023-12-28    102890.986927
2023-12-29    102927.411260
Length: 501, dtype: float64"
