iteration,strategy,rl_model,data_group,portfolio_values
119,baseline,PPO,Group1,"2022-01-03    100000.000000
2022-01-04     99169.808828
2022-01-05     97549.608578
2022-01-06     97017.908682
2022-01-07     96134.643379
                  ...      
2023-12-22     80768.018144
2023-12-26     80939.559517
2023-12-27     81021.630256
2023-12-28     81111.228259
2023-12-29     81126.919004
Length: 501, dtype: float64"
119,baseline,PPO,Group2,"2022-01-03    100000.000000
2022-01-04    100803.816304
2022-01-05    100088.231574
2022-01-06    100136.939878
2022-01-07    100618.984496
                  ...      
2023-12-22     76277.831764
2023-12-26     76584.529655
2023-12-27     76545.835718
2023-12-28     76570.676914
2023-12-29     76484.225708
Length: 501, dtype: float64"
119,baseline,A2C,Group1,"2022-01-03    100000.000000
2022-01-04     98685.012058
2022-01-05     97363.047926
2022-01-06     96714.429048
2022-01-07     96176.831396
                  ...      
2023-12-22     85062.928770
2023-12-26     85222.913279
2023-12-27     85262.476544
2023-12-28     85405.014414
2023-12-29     85405.458917
Length: 501, dtype: float64"
119,baseline,A2C,Group2,"2022-01-03    100000.000000
2022-01-04    100848.296825
2022-01-05    100550.124021
2022-01-06    100698.864214
2022-01-07    101245.430143
                  ...      
2023-12-22     83928.102704
2023-12-26     84229.467663
2023-12-27     84256.567479
2023-12-28     84238.773402
2023-12-29     84120.593587
Length: 501, dtype: float64"
119,baseline,DDPG,Group1,"2022-01-03    100000.000000
2022-01-04     98952.595529
2022-01-05     97998.207006
2022-01-06     97543.713808
2022-01-07     97186.109659
                  ...      
2023-12-22    100900.678442
2023-12-26    101169.956890
2023-12-27    101333.403393
2023-12-28    101510.803064
2023-12-29    101425.003221
Length: 501, dtype: float64"
119,baseline,DDPG,Group2,"2022-01-03    100000.000000
2022-01-04    100507.440466
2022-01-05     99934.745843
2022-01-06    100000.542852
2022-01-07    100414.966404
                  ...      
2023-12-22    105420.496167
2023-12-26    105994.052358
2023-12-27    105982.994774
2023-12-28    105971.394410
2023-12-29    105857.666074
Length: 501, dtype: float64"
119,naive,PPO,Group1,"2022-01-03    100000.000000
2022-01-04     99001.555413
2022-01-05     98002.764096
2022-01-06     97471.194836
2022-01-07     96742.982989
                  ...      
2023-12-22     82414.252086
2023-12-26     82571.966566
2023-12-27     82706.305731
2023-12-28     82822.483484
2023-12-29     82737.814465
Length: 501, dtype: float64"
119,naive,PPO,Group2,"2022-01-03    100000.000000
2022-01-04    100749.953804
2022-01-05    100183.539426
2022-01-06    100322.158795
2022-01-07    100752.618733
                  ...      
2023-12-22     78776.336479
2023-12-26     79110.333960
2023-12-27     79194.909118
2023-12-28     79242.148973
2023-12-29     79135.419380
Length: 501, dtype: float64"
119,naive,A2C,Group1,"2022-01-03    100000.000000
2022-01-04     98682.491154
2022-01-05     97281.562698
2022-01-06     96844.498888
2022-01-07     96454.548046
                  ...      
2023-12-22     87746.141512
2023-12-26     87924.855109
2023-12-27     88062.653170
2023-12-28     88205.484826
2023-12-29     88147.797890
Length: 501, dtype: float64"
119,naive,A2C,Group2,"2022-01-03    100000.000000
2022-01-04    100869.217331
2022-01-05    100578.247699
2022-01-06    100882.724247
2022-01-07    101526.380950
                  ...      
2023-12-22     83512.697298
2023-12-26     83887.731564
2023-12-27     83840.434946
2023-12-28     83799.454676
2023-12-29     83700.172471
Length: 501, dtype: float64"
119,naive,DDPG,Group1,"2022-01-03    100000.000000
2022-01-04     98952.595529
2022-01-05     97998.207006
2022-01-06     97543.713808
2022-01-07     97186.109659
                  ...      
2023-12-22    100900.678442
2023-12-26    101169.956890
2023-12-27    101333.403393
2023-12-28    101510.803064
2023-12-29    101425.003221
Length: 501, dtype: float64"
119,naive,DDPG,Group2,"2022-01-03    100000.000000
2022-01-04    100507.440466
2022-01-05     99934.745843
2022-01-06    100000.542852
2022-01-07    100414.966404
                  ...      
2023-12-22    105420.496167
2023-12-26    105994.052358
2023-12-27    105982.994774
2023-12-28    105971.394410
2023-12-29    105857.666074
Length: 501, dtype: float64"
119,ewc,PPO,Group1,"2022-01-03    100000.000000
2022-01-04     98785.595715
2022-01-05     98159.467464
2022-01-06     97482.345092
2022-01-07     96937.813896
                  ...      
2023-12-22     81124.016428
2023-12-26     81266.389553
2023-12-27     81346.434176
2023-12-28     81483.752199
2023-12-29     81364.222405
Length: 501, dtype: float64"
119,ewc,PPO,Group2,"2022-01-03    100000.000000
2022-01-04    100407.712791
2022-01-05    100027.353875
2022-01-06     99998.983151
2022-01-07    100462.946987
                  ...      
2023-12-22     79330.523687
2023-12-26     79670.794083
2023-12-27     79668.294982
2023-12-28     79748.964307
2023-12-29     79677.837524
Length: 501, dtype: float64"
119,ewc,A2C,Group1,"2022-01-03    100000.000000
2022-01-04     98678.083869
2022-01-05     98004.639520
2022-01-06     97259.418377
2022-01-07     96881.987065
                  ...      
2023-12-22     86924.994782
2023-12-26     87111.750743
2023-12-27     87277.081777
2023-12-28     87418.731824
2023-12-29     87360.170281
Length: 501, dtype: float64"
