iteration,strategy,rl_model,data_group,portfolio_values
152,baseline,PPO,Group1,"2022-01-03    100000.000000
2022-01-04     99658.832892
2022-01-05     99414.229885
2022-01-06     99530.202629
2022-01-07     99315.701289
                  ...      
2023-12-22     85336.084331
2023-12-26     85448.249863
2023-12-27     85542.798858
2023-12-28     85592.779631
2023-12-29     85428.462363
Length: 501, dtype: float64"
152,baseline,PPO,Group2,"2022-01-03    100000.000000
2022-01-04     99398.167256
2022-01-05     97980.922424
2022-01-06     97724.848377
2022-01-07     97771.698207
                  ...      
2023-12-22     75538.988875
2023-12-26     75845.350244
2023-12-27     75824.681091
2023-12-28     75900.132633
2023-12-29     75791.694652
Length: 501, dtype: float64"
152,baseline,A2C,Group1,"2022-01-03    100000.000000
2022-01-04     99817.006614
2022-01-05     98791.986712
2022-01-06     98799.994654
2022-01-07     98085.960804
                  ...      
2023-12-22     94404.127736
2023-12-26     94533.858572
2023-12-27     94573.211757
2023-12-28     94485.088707
2023-12-29     94401.638502
Length: 501, dtype: float64"
152,baseline,A2C,Group2,"2022-01-03    100000.000000
2022-01-04     99861.184051
2022-01-05     98738.155957
2022-01-06     98395.476817
2022-01-07     98512.313007
                  ...      
2023-12-22     82450.220503
2023-12-26     83139.674877
2023-12-27     83129.936466
2023-12-28     83267.496203
2023-12-29     83207.487542
Length: 501, dtype: float64"
152,baseline,DDPG,Group1,"2022-01-03    100000.000000
2022-01-04     99911.051468
2022-01-05     99531.468843
2022-01-06     99690.881685
2022-01-07     99727.295164
                  ...      
2023-12-22    112614.008052
2023-12-26    112832.760372
2023-12-27    112912.076504
2023-12-28    112926.564139
2023-12-29    112851.932394
Length: 501, dtype: float64"
152,baseline,DDPG,Group2,"2022-01-03    100000.000000
2022-01-04     99916.491104
2022-01-05     98326.019656
2022-01-06     98117.541987
2022-01-07     98335.738463
                  ...      
2023-12-22     91338.714064
2023-12-26     91788.932965
2023-12-27     91761.055537
2023-12-28     91929.788279
2023-12-29     91845.990772
Length: 501, dtype: float64"
152,naive,PPO,Group1,"2022-01-03    100000.000000
2022-01-04     99699.286248
2022-01-05     98712.297654
2022-01-06     98709.276362
2022-01-07     98069.938371
                  ...      
2023-12-22     86883.739376
2023-12-26     87012.940750
2023-12-27     86994.784993
2023-12-28     87007.347869
2023-12-29     86903.770422
Length: 501, dtype: float64"
152,naive,PPO,Group2,"2022-01-03    100000.000000
2022-01-04    100260.326817
2022-01-05     99179.395025
2022-01-06     98812.779772
2022-01-07     98873.651539
                  ...      
2023-12-22     74710.500600
2023-12-26     75115.503104
2023-12-27     75132.011907
2023-12-28     75273.491579
2023-12-29     75172.135001
Length: 501, dtype: float64"
152,naive,A2C,Group1,"2022-01-03    100000.000000
2022-01-04     99779.886602
2022-01-05     98956.767998
2022-01-06     99153.069979
2022-01-07     98556.811853
                  ...      
2023-12-22    100329.416652
2023-12-26    100504.201443
2023-12-27    100495.590699
2023-12-28    100369.388516
2023-12-29    100302.782833
Length: 501, dtype: float64"
152,naive,A2C,Group2,"2022-01-03    100000.000000
2022-01-04     99755.581757
2022-01-05     99422.557200
2022-01-06     99174.171189
2022-01-07     99480.599143
                  ...      
2023-12-22     80250.791540
2023-12-26     80582.166682
2023-12-27     80576.347509
2023-12-28     80705.115982
2023-12-29     80678.680728
Length: 501, dtype: float64"
152,naive,DDPG,Group1,"2022-01-03    100000.000000
2022-01-04     99911.051468
2022-01-05     99531.468843
2022-01-06     99690.881685
2022-01-07     99727.295164
                  ...      
2023-12-22    112614.008052
2023-12-26    112832.760372
2023-12-27    112912.076504
2023-12-28    112926.564139
2023-12-29    112851.932394
Length: 501, dtype: float64"
152,naive,DDPG,Group2,"2022-01-03    100000.000000
2022-01-04     99916.491104
2022-01-05     98326.019656
2022-01-06     98117.541987
2022-01-07     98335.738463
                  ...      
2023-12-22     91338.714064
2023-12-26     91788.932965
2023-12-27     91761.055537
2023-12-28     91929.788279
2023-12-29     91845.990772
Length: 501, dtype: float64"
152,ewc,PPO,Group1,"2022-01-03    100000.000000
2022-01-04     99344.245957
2022-01-05     98775.127076
2022-01-06     98704.791821
2022-01-07     98469.674080
                  ...      
2023-12-22     91130.687378
2023-12-26     91243.833723
2023-12-27     91378.558463
2023-12-28     91391.353346
2023-12-29     91315.253201
Length: 501, dtype: float64"
152,ewc,PPO,Group2,"2022-01-03    100000.000000
2022-01-04    100119.379530
2022-01-05     99156.890172
2022-01-06     98725.637349
2022-01-07     98966.075860
                  ...      
2023-12-22     72716.718783
2023-12-26     73142.452753
2023-12-27     73229.546980
2023-12-28     73328.866757
2023-12-29     73247.392828
Length: 501, dtype: float64"
