iteration,strategy,rl_model,data_group,portfolio_values
0,replay,PPO,Group2,"2022-01-03    100000.000000
2022-01-04     99521.265036
2022-01-05     98513.360629
2022-01-06     98071.787367
2022-01-07     98055.058464
                  ...      
2023-12-22     78344.026613
2023-12-26     78486.221199
2023-12-27     78522.689760
2023-12-28     78565.494740
2023-12-29     78585.801278
Length: 501, dtype: float64"
0,replay,A2C,Group1,"2022-01-03    100000.000000
2022-01-04     99518.404165
2022-01-05     98498.300617
2022-01-06     98276.310553
2022-01-07     97915.795061
                  ...      
2023-12-22     93420.842872
2023-12-26     93777.711976
2023-12-27     93830.963641
2023-12-28     93927.363106
2023-12-29     93777.748306
Length: 501, dtype: float64"
0,replay,A2C,Group2,"2022-01-03    100000.000000
2022-01-04     99509.874883
2022-01-05     98968.271874
2022-01-06     98403.221498
2022-01-07     98330.323961
                  ...      
2023-12-22     86837.186145
2023-12-26     87060.857762
2023-12-27     87147.884800
2023-12-28     87216.415588
2023-12-29     87201.883498
Length: 501, dtype: float64"
0,replay,DDPG,Group1,"2022-01-03    100000.000000
2022-01-04    100191.117097
2022-01-05     99413.241556
2022-01-06     99585.554354
2022-01-07     99483.237000
                  ...      
2023-12-22    102716.438702
2023-12-26    103405.009370
2023-12-27    103522.865473
2023-12-28    103619.271356
2023-12-29    103510.309049
Length: 501, dtype: float64"
0,replay,DDPG,Group2,"2022-01-03    100000.000000
2022-01-04     99342.996963
2022-01-05     98325.072743
2022-01-06     97902.217728
2022-01-07     97746.080721
                  ...      
2023-12-22     98502.089915
2023-12-26     98764.035368
2023-12-27     98854.059540
2023-12-28     98871.779981
2023-12-29     98886.279459
Length: 501, dtype: float64"
1,baseline,PPO,Group1,"2022-01-03    100000.000000
2022-01-04    100604.803798
2022-01-05     99821.617213
2022-01-06     99981.400614
2022-01-07    100201.470751
                  ...      
2023-12-22     90694.983820
2023-12-26     91398.180069
2023-12-27     91382.603798
2023-12-28     91323.285705
2023-12-29     91145.469575
Length: 501, dtype: float64"
1,baseline,PPO,Group2,"2022-01-03    100000.000000
2022-01-04     99046.631776
2022-01-05     98327.099031
2022-01-06     97815.681193
2022-01-07     97784.742270
                  ...      
2023-12-22     77410.253280
2023-12-26     77487.035700
2023-12-27     77604.354052
2023-12-28     77678.243484
2023-12-29     77649.527878
Length: 501, dtype: float64"
1,baseline,A2C,Group1,"2022-01-03    100000.000000
2022-01-04    100771.845292
2022-01-05     99811.435746
2022-01-06    100085.583776
2022-01-07     99909.963756
                  ...      
2023-12-22     82415.874532
2023-12-26     82845.457014
2023-12-27     82759.529372
2023-12-28     82765.628606
2023-12-29     82614.019690
Length: 501, dtype: float64"
1,baseline,A2C,Group2,"2022-01-03    100000.000000
2022-01-04     99183.938147
2022-01-05     97985.485631
2022-01-06     97309.952828
2022-01-07     97100.269433
                  ...      
2023-12-22     77683.048879
2023-12-26     77725.941265
2023-12-27     77822.674492
2023-12-28     77918.684511
2023-12-29     77937.305141
Length: 501, dtype: float64"
1,baseline,DDPG,Group1,"2022-01-03    100000.000000
2022-01-04    100255.165375
2022-01-05     99446.375406
2022-01-06     99677.415180
2022-01-07     99737.822127
                  ...      
2023-12-22    101635.541475
2023-12-26    102498.413498
2023-12-27    102591.814264
2023-12-28    102634.820652
2023-12-29    102440.954604
Length: 501, dtype: float64"
1,baseline,DDPG,Group2,"2022-01-03    100000.000000
2022-01-04     99260.708790
2022-01-05     98637.306823
2022-01-06     98162.666028
2022-01-07     98110.650511
                  ...      
2023-12-22     94874.981188
2023-12-26     94963.057719
2023-12-27     95076.747463
2023-12-28     95257.767420
2023-12-29     95237.583184
Length: 501, dtype: float64"
1,naive,PPO,Group1,"2022-01-03    100000.000000
2022-01-04    100178.041387
2022-01-05     99401.358704
2022-01-06     99745.096565
2022-01-07     99391.330971
                  ...      
2023-12-22     83928.514282
2023-12-26     84437.413095
2023-12-27     84465.468508
2023-12-28     84479.120258
2023-12-29     84351.138589
Length: 501, dtype: float64"
1,naive,PPO,Group2,"2022-01-03    100000.000000
2022-01-04     99167.357797
2022-01-05     97978.301414
2022-01-06     97225.436083
2022-01-07     97311.250708
                  ...      
2023-12-22     78141.560228
2023-12-26     78184.592024
2023-12-27     78260.602924
2023-12-28     78365.800678
2023-12-29     78393.092860
Length: 501, dtype: float64"
1,naive,A2C,Group1,"2022-01-03    100000.000000
2022-01-04    100734.384773
2022-01-05     99509.951160
2022-01-06     99832.132870
2022-01-07     99919.216447
                  ...      
2023-12-22     94049.963798
2023-12-26     94683.790079
2023-12-27     94670.165448
2023-12-28     94772.515035
2023-12-29     94642.671033
Length: 501, dtype: float64"
1,naive,A2C,Group2,"2022-01-03    100000.000000
2022-01-04     99434.059465
2022-01-05     98620.218693
2022-01-06     97886.371067
2022-01-07     97662.579264
                  ...      
2023-12-22     87035.188659
2023-12-26     87145.206237
2023-12-27     87153.207092
2023-12-28     87252.795267
2023-12-29     87215.122504
Length: 501, dtype: float64"
1,naive,DDPG,Group1,"2022-01-03    100000.000000
2022-01-04    100255.165375
2022-01-05     99446.375406
2022-01-06     99677.415180
2022-01-07     99737.822127
                  ...      
2023-12-22    101635.541475
2023-12-26    102498.413498
2023-12-27    102591.814264
2023-12-28    102634.820652
2023-12-29    102440.954604
Length: 501, dtype: float64"
1,naive,DDPG,Group2,"2022-01-03    100000.000000
2022-01-04     99260.708790
2022-01-05     98637.306823
2022-01-06     98162.666028
2022-01-07     98110.650511
                  ...      
2023-12-22     94874.981188
2023-12-26     94963.057719
2023-12-27     95076.747463
2023-12-28     95257.767420
2023-12-29     95237.583184
Length: 501, dtype: float64"
1,ewc,PPO,Group1,"2022-01-03    100000.000000
2022-01-04    100697.393636
2022-01-05     99845.367479
2022-01-06     99845.735928
2022-01-07     99930.699694
                  ...      
2023-12-22     92631.559071
2023-12-26     93132.378187
2023-12-27     93122.140771
2023-12-28     93112.374902
2023-12-29     92877.159032
Length: 501, dtype: float64"
1,ewc,PPO,Group2,"2022-01-03    100000.000000
2022-01-04     99035.964956
2022-01-05     98331.619235
2022-01-06     97902.559846
2022-01-07     97993.034009
                  ...      
2023-12-22     77561.493852
2023-12-26     77609.605375
2023-12-27     77608.626741
2023-12-28     77711.030470
2023-12-29     77714.802694
Length: 501, dtype: float64"
1,ewc,A2C,Group1,"2022-01-03    100000.000000
2022-01-04    100617.407072
2022-01-05     99463.848438
2022-01-06     99682.775380
2022-01-07     99865.287219
                  ...      
2023-12-22     89693.473661
2023-12-26     90155.093977
2023-12-27     90140.863282
2023-12-28     90173.184015
2023-12-29     90030.184868
Length: 501, dtype: float64"
1,ewc,A2C,Group2,"2022-01-03    100000.000000
2022-01-04     99367.712207
2022-01-05     99085.885918
2022-01-06     98740.923522
2022-01-07     98957.598854
                  ...      
2023-12-22     85361.936024
2023-12-26     85469.574054
2023-12-27     85589.325549
2023-12-28     85641.366878
2023-12-29     85642.211199
Length: 501, dtype: float64"
1,ewc,DDPG,Group1,"2022-01-03    100000.000000
2022-01-04    100255.165375
2022-01-05     99446.375406
2022-01-06     99677.415180
2022-01-07     99737.822127
                  ...      
2023-12-22    101635.541475
2023-12-26    102498.413498
2023-12-27    102591.814264
2023-12-28    102634.820652
2023-12-29    102440.954604
Length: 501, dtype: float64"
1,ewc,DDPG,Group2,"2022-01-03    100000.000000
2022-01-04     99260.708790
2022-01-05     98637.306823
2022-01-06     98162.666028
2022-01-07     98110.650511
                  ...      
2023-12-22     94874.981188
2023-12-26     94963.057719
2023-12-27     95076.747463
2023-12-28     95257.767420
2023-12-29     95237.583184
Length: 501, dtype: float64"
1,replay,PPO,Group1,"2022-01-03    100000.000000
2022-01-04    100811.799024
2022-01-05     99745.129272
2022-01-06     99940.967289
2022-01-07    100008.909129
                  ...      
2023-12-22     91703.114982
2023-12-26     92169.699652
2023-12-27     92125.992124
2023-12-28     92253.963844
2023-12-29     92118.026936
Length: 501, dtype: float64"
1,replay,PPO,Group2,"2022-01-03    100000.000000
2022-01-04     98785.217083
2022-01-05     98056.366513
2022-01-06     97800.271009
2022-01-07     97839.072654
                  ...      
2023-12-22     76088.333308
2023-12-26     76157.038046
2023-12-27     76159.584939
2023-12-28     76282.249483
2023-12-29     76284.534698
Length: 501, dtype: float64"
1,replay,A2C,Group1,"2022-01-03    100000.000000
2022-01-04    101020.406620
2022-01-05     99893.375728
2022-01-06    100221.333063
2022-01-07    100488.522214
                  ...      
2023-12-22     93924.485831
2023-12-26     94546.515480
2023-12-27     94523.799592
2023-12-28     94618.768691
2023-12-29     94505.524716
Length: 501, dtype: float64"
1,replay,A2C,Group2,"2022-01-03    100000.000000
2022-01-04     99164.175133
2022-01-05     98729.708259
2022-01-06     98064.810395
2022-01-07     98033.170984
                  ...      
2023-12-22     83124.635141
2023-12-26     83236.142832
2023-12-27     83320.430660
2023-12-28     83395.661531
2023-12-29     83404.423584
Length: 501, dtype: float64"
1,replay,DDPG,Group1,"2022-01-03    100000.000000
2022-01-04    100255.165375
2022-01-05     99446.375406
2022-01-06     99677.415180
2022-01-07     99737.822127
                  ...      
2023-12-22    101635.541475
2023-12-26    102498.413498
2023-12-27    102591.814264
2023-12-28    102634.820652
2023-12-29    102440.954604
Length: 501, dtype: float64"
1,replay,DDPG,Group2,"2022-01-03    100000.000000
2022-01-04     99260.708790
2022-01-05     98637.306823
2022-01-06     98162.666028
2022-01-07     98110.650511
                  ...      
2023-12-22     94874.981188
2023-12-26     94963.057719
2023-12-27     95076.747463
2023-12-28     95257.767420
2023-12-29     95237.583184
Length: 501, dtype: float64"
2,baseline,PPO,Group1,"2022-01-03    100000.000000
2022-01-04    100455.037116
2022-01-05     99825.631778
2022-01-06     99933.319001
2022-01-07    100120.256028
                  ...      
2023-12-22     78328.550499
2023-12-26     79007.170447
2023-12-27     79080.356319
2023-12-28     79248.943224
2023-12-29     79138.492556
Length: 501, dtype: float64"
