iteration,strategy,rl_model,data_group,portfolio_values
143,baseline,PPO,Group1,"2022-01-03    100000.000000
2022-01-04     99751.062208
2022-01-05     99721.019797
2022-01-06     99568.655270
2022-01-07     99176.848476
                  ...      
2023-12-22     75770.843231
2023-12-26     76447.434006
2023-12-27     76568.266285
2023-12-28     76736.445822
2023-12-29     76688.728797
Length: 501, dtype: float64"
143,baseline,PPO,Group2,"2022-01-03    100000.000000
2022-01-04     99816.966141
2022-01-05     98796.640810
2022-01-06     98373.669077
2022-01-07     98387.985204
                  ...      
2023-12-22     86754.375126
2023-12-26     86845.354073
2023-12-27     86775.083092
2023-12-28     86817.670757
2023-12-29     86731.782465
Length: 501, dtype: float64"
143,baseline,A2C,Group1,"2022-01-03    100000.000000
2022-01-04    100230.674701
2022-01-05    100111.976621
2022-01-06     99997.598634
2022-01-07     99813.024999
                  ...      
2023-12-22     81260.813100
2023-12-26     81557.241471
2023-12-27     81632.334914
2023-12-28     81704.155358
2023-12-29     81676.428117
Length: 501, dtype: float64"
143,baseline,A2C,Group2,"2022-01-03    100000.000000
2022-01-04     99806.703691
2022-01-05     98338.605043
2022-01-06     98481.911892
2022-01-07     98372.407482
                  ...      
2023-12-22     93555.089914
2023-12-26     93703.752360
2023-12-27     93690.421210
2023-12-28     93723.877924
2023-12-29     93556.176802
Length: 501, dtype: float64"
143,baseline,DDPG,Group1,"2022-01-03    100000.000000
2022-01-04     99599.822648
2022-01-05     99271.644411
2022-01-06     99161.562005
2022-01-07     99340.407933
                  ...      
2023-12-22     94194.238447
2023-12-26     94581.282168
2023-12-27     94704.060390
2023-12-28     94837.489870
2023-12-29     94770.371470
Length: 501, dtype: float64"
143,baseline,DDPG,Group2,"2022-01-03    100000.000000
2022-01-04     99598.873872
2022-01-05     98614.617974
2022-01-06     98473.797838
2022-01-07     98714.672197
                  ...      
2023-12-22    103675.373464
2023-12-26    103774.423594
2023-12-27    103792.276677
2023-12-28    103943.545622
2023-12-29    103868.225205
Length: 501, dtype: float64"
143,naive,PPO,Group1,"2022-01-03    100000.000000
2022-01-04     99929.105884
2022-01-05     99052.698298
2022-01-06     98553.812507
2022-01-07     98396.330426
                  ...      
2023-12-22     79452.957410
2023-12-26     79768.651084
2023-12-27     79854.700160
2023-12-28     79998.666687
2023-12-29     79925.361778
Length: 501, dtype: float64"
143,naive,PPO,Group2,"2022-01-03    100000.000000
2022-01-04     99749.078089
2022-01-05     98540.169783
2022-01-06     98588.012499
2022-01-07     98641.255919
                  ...      
2023-12-22     86923.181682
2023-12-26     87019.521940
2023-12-27     87029.372555
2023-12-28     86939.962827
2023-12-29     86821.175327
Length: 501, dtype: float64"
143,naive,A2C,Group1,"2022-01-03    100000.000000
2022-01-04     99775.226648
2022-01-05     99728.517064
2022-01-06     99735.676352
2022-01-07     99608.101593
                  ...      
2023-12-22     82296.654403
2023-12-26     82672.058566
2023-12-27     82743.250435
2023-12-28     82824.150636
2023-12-29     82819.286547
Length: 501, dtype: float64"
143,naive,A2C,Group2,"2022-01-03    100000.000000
2022-01-04    100044.937334
2022-01-05     98754.941847
2022-01-06     98649.230724
2022-01-07     98759.817768
                  ...      
2023-12-22     91720.401339
2023-12-26     91893.099415
2023-12-27     91927.746336
2023-12-28     91981.364883
2023-12-29     91921.251880
Length: 501, dtype: float64"
