iteration,strategy,rl_model,data_group,portfolio_values
107,baseline,PPO,Group1,"2022-01-03    100000.000000
2022-01-04     99489.661997
2022-01-05     98086.937969
2022-01-06     98048.330337
2022-01-07     98058.931112
                  ...      
2023-12-22     86638.575187
2023-12-26     87196.314771
2023-12-27     87187.046744
2023-12-28     87215.931932
2023-12-29     87145.780205
Length: 501, dtype: float64"
107,baseline,PPO,Group2,"2022-01-03    100000.000000
2022-01-04     99367.153320
2022-01-05     98908.441071
2022-01-06     98565.185437
2022-01-07     98939.777921
                  ...      
2023-12-22     83355.625321
2023-12-26     83388.716080
2023-12-27     83443.160645
2023-12-28     83490.726631
2023-12-29     83369.568819
Length: 501, dtype: float64"
107,baseline,A2C,Group1,"2022-01-03    100000.000000
2022-01-04     99785.934241
2022-01-05     98979.609113
2022-01-06     98946.698760
2022-01-07     98705.999276
                  ...      
2023-12-22     84309.787980
2023-12-26     84821.120882
2023-12-27     84822.734874
2023-12-28     84867.011720
2023-12-29     84806.501754
Length: 501, dtype: float64"
107,baseline,A2C,Group2,"2022-01-03    100000.000000
2022-01-04     99903.274202
2022-01-05     99567.278663
2022-01-06     99382.358158
2022-01-07     99486.891871
                  ...      
2023-12-22     85132.690351
2023-12-26     85142.450717
2023-12-27     85217.276257
2023-12-28     85250.037808
2023-12-29     85171.122144
Length: 501, dtype: float64"
107,baseline,DDPG,Group1,"2022-01-03    100000.000000
2022-01-04     99693.513454
2022-01-05     98249.937159
2022-01-06     98113.202450
2022-01-07     98071.483704
                  ...      
2023-12-22     97536.082563
2023-12-26     98073.136593
2023-12-27     98077.202635
2023-12-28     98134.696445
2023-12-29     98003.226085
Length: 501, dtype: float64"
107,baseline,DDPG,Group2,"2022-01-03    100000.000000
2022-01-04    100168.723300
2022-01-05     99260.644292
2022-01-06     99134.606665
2022-01-07     99025.766778
                  ...      
2023-12-22    106370.260410
2023-12-26    106485.497335
2023-12-27    106590.150926
2023-12-28    106689.132773
2023-12-29    106614.714140
Length: 501, dtype: float64"
107,naive,PPO,Group1,"2022-01-03    100000.000000
2022-01-04     99660.143097
2022-01-05     98623.484466
2022-01-06     98287.946806
2022-01-07     98067.123095
                  ...      
2023-12-22     75775.135289
2023-12-26     76266.414282
2023-12-27     76226.369862
2023-12-28     76311.248999
2023-12-29     76297.694283
Length: 501, dtype: float64"
107,naive,PPO,Group2,"2022-01-03    100000.000000
2022-01-04     99492.573165
2022-01-05     99242.907155
2022-01-06     99070.899124
2022-01-07     99159.326914
                  ...      
2023-12-22     85784.776446
2023-12-26     85779.643421
2023-12-27     85868.008695
2023-12-28     85922.947830
2023-12-29     85826.669988
Length: 501, dtype: float64"
107,naive,A2C,Group1,"2022-01-03    100000.000000
2022-01-04     99815.122867
2022-01-05     98907.017481
2022-01-06     98821.714808
2022-01-07     98642.736239
                  ...      
2023-12-22     88446.054934
2023-12-26     88911.011810
2023-12-27     88940.986520
2023-12-28     88989.075876
2023-12-29     89003.345481
Length: 501, dtype: float64"
107,naive,A2C,Group2,"2022-01-03    100000.000000
2022-01-04     99973.331997
2022-01-05     99268.083008
2022-01-06     98795.220685
2022-01-07     98854.884656
                  ...      
2023-12-22     95425.945451
2023-12-26     95441.907745
2023-12-27     95552.071826
2023-12-28     95711.014206
2023-12-29     95678.421516
Length: 501, dtype: float64"
