iteration,strategy,rl_model,data_group,portfolio_values
146,baseline,PPO,Group1,"2022-01-03    100000.000000
2022-01-04     99228.044233
2022-01-05     99192.366366
2022-01-06     99444.170712
2022-01-07     99735.099450
                  ...      
2023-12-22     79443.797618
2023-12-26     79778.766342
2023-12-27     79862.320026
2023-12-28     79933.272032
2023-12-29     79901.369871
Length: 501, dtype: float64"
146,baseline,PPO,Group2,"2022-01-03    100000.000000
2022-01-04     99871.794847
2022-01-05     98007.057861
2022-01-06     97715.306854
2022-01-07     97145.474256
                  ...      
2023-12-22     85683.435234
2023-12-26     85809.931468
2023-12-27     85763.311964
2023-12-28     85851.881306
2023-12-29     85763.830705
Length: 501, dtype: float64"
146,baseline,A2C,Group1,"2022-01-03    100000.000000
2022-01-04     99760.383866
2022-01-05    100050.559693
2022-01-06    100129.959455
2022-01-07    100719.366513
                  ...      
2023-12-22     79854.694640
2023-12-26     80467.813762
2023-12-27     80551.738896
2023-12-28     80547.182321
2023-12-29     80523.118189
Length: 501, dtype: float64"
146,baseline,A2C,Group2,"2022-01-03    100000.000000
2022-01-04     99988.798386
2022-01-05     98410.897745
2022-01-06     98195.610407
2022-01-07     97517.685639
                  ...      
2023-12-22     81344.509722
2023-12-26     81479.691158
2023-12-27     81388.468341
2023-12-28     81493.176663
2023-12-29     81319.324383
Length: 501, dtype: float64"
146,baseline,DDPG,Group1,"2022-01-03    100000.000000
2022-01-04     99890.318487
2022-01-05    100067.847542
2022-01-06     99985.191511
2022-01-07    100499.890658
                  ...      
2023-12-22     99686.355177
2023-12-26    100533.881108
2023-12-27    100772.562197
2023-12-28    100832.720564
2023-12-29    100790.653948
Length: 501, dtype: float64"
146,baseline,DDPG,Group2,"2022-01-03    100000.000000
2022-01-04     99752.135369
2022-01-05     97816.442143
2022-01-06     97533.721324
2022-01-07     97135.323036
                  ...      
2023-12-22     97171.255597
2023-12-26     97340.841774
2023-12-27     97164.964929
2023-12-28     97262.830583
2023-12-29     97141.319774
Length: 501, dtype: float64"
146,naive,PPO,Group1,"2022-01-03    100000.000000
2022-01-04     99716.498773
2022-01-05     99761.259755
2022-01-06    100000.956156
2022-01-07    100396.480838
                  ...      
2023-12-22     82729.013892
2023-12-26     83023.343116
2023-12-27     83189.212371
2023-12-28     83048.528279
2023-12-29     82992.231789
Length: 501, dtype: float64"
146,naive,PPO,Group2,"2022-01-03    100000.000000
2022-01-04    100027.981455
2022-01-05     98232.467066
2022-01-06     97722.225019
2022-01-07     96971.303326
                  ...      
2023-12-22     80117.178587
2023-12-26     80265.678166
2023-12-27     80188.821286
2023-12-28     80253.194200
2023-12-29     80126.879116
Length: 501, dtype: float64"
146,naive,A2C,Group1,"2022-01-03    100000.000000
2022-01-04    100007.935412
2022-01-05    100200.766241
2022-01-06    100353.885886
2022-01-07    100869.774875
                  ...      
2023-12-22     92976.402103
2023-12-26     93389.546626
2023-12-27     93574.807807
2023-12-28     93662.896995
2023-12-29     93581.977625
Length: 501, dtype: float64"
146,naive,A2C,Group2,"2022-01-03    100000.000000
2022-01-04    100203.517801
2022-01-05     98484.279668
2022-01-06     98231.715313
2022-01-07     97802.088714
                  ...      
2023-12-22     88208.154955
2023-12-26     88323.255361
2023-12-27     88259.290622
2023-12-28     88431.860680
2023-12-29     88329.809399
Length: 501, dtype: float64"
146,naive,DDPG,Group1,"2022-01-03    100000.000000
2022-01-04     99890.318487
2022-01-05    100067.847542
2022-01-06     99985.191511
2022-01-07    100499.890658
                  ...      
2023-12-22     99686.355177
2023-12-26    100533.881108
2023-12-27    100772.562197
2023-12-28    100832.720564
2023-12-29    100790.653948
Length: 501, dtype: float64"
146,naive,DDPG,Group2,"2022-01-03    100000.000000
2022-01-04     99752.135369
2022-01-05     97816.442143
2022-01-06     97533.721324
2022-01-07     97135.323036
                  ...      
2023-12-22     97171.255597
2023-12-26     97340.841774
2023-12-27     97164.964929
2023-12-28     97262.830583
2023-12-29     97141.319774
Length: 501, dtype: float64"
