iteration,strategy,rl_model,data_group,portfolio_values
100,replay,PPO,Group2,"2022-01-03    100000.000000
2022-01-04     98551.433742
2022-01-05     97542.786833
2022-01-06     96605.001523
2022-01-07     96299.894611
                  ...      
2023-12-22     83649.797158
2023-12-26     83697.586802
2023-12-27     83756.407974
2023-12-28     83784.754412
2023-12-29     83735.792281
Length: 501, dtype: float64"
100,replay,A2C,Group1,"2022-01-03    100000.000000
2022-01-04    101080.244168
2022-01-05    100746.852303
2022-01-06    101006.620651
2022-01-07    101320.643024
                  ...      
2023-12-22     84525.236084
2023-12-26     84924.845705
2023-12-27     84955.287590
2023-12-28     84946.982796
2023-12-29     84856.906221
Length: 501, dtype: float64"
100,replay,A2C,Group2,"2022-01-03    100000.000000
2022-01-04     98755.769309
2022-01-05     96936.527327
2022-01-06     96225.937726
2022-01-07     95703.493195
                  ...      
2023-12-22     86083.455172
2023-12-26     86186.204373
2023-12-27     86211.218607
2023-12-28     86308.483931
2023-12-29     86238.392900
Length: 501, dtype: float64"
100,replay,DDPG,Group1,"2022-01-03    100000.000000
2022-01-04    100896.025373
2022-01-05    100834.493740
2022-01-06    101134.838789
2022-01-07    101569.117345
                  ...      
2023-12-22     99244.792197
2023-12-26    100007.364259
2023-12-27    100060.662985
2023-12-28    100067.362057
2023-12-29     99996.419797
Length: 501, dtype: float64"
100,replay,DDPG,Group2,"2022-01-03    100000.000000
2022-01-04     98773.441514
2022-01-05     97484.168457
2022-01-06     96917.853788
2022-01-07     96278.653588
                  ...      
2023-12-22    103772.189332
2023-12-26    103855.229977
2023-12-27    103943.985623
2023-12-28    104041.659939
2023-12-29    103936.904544
Length: 501, dtype: float64"
101,baseline,PPO,Group1,"2022-01-03    100000.000000
2022-01-04    100103.006995
2022-01-05     98941.631370
2022-01-06     98424.259841
2022-01-07     98206.703213
                  ...      
2023-12-22     84783.438822
2023-12-26     84927.423083
2023-12-27     84904.502652
2023-12-28     84985.863215
2023-12-29     85012.894443
Length: 501, dtype: float64"
101,baseline,PPO,Group2,"2022-01-03    100000.000000
2022-01-04     99507.505175
2022-01-05     99002.761648
2022-01-06     99225.703872
2022-01-07     99729.146157
                  ...      
2023-12-22     87268.143779
2023-12-26     87592.714170
2023-12-27     87663.467127
2023-12-28     87654.208402
2023-12-29     87496.378513
Length: 501, dtype: float64"
101,baseline,A2C,Group1,"2022-01-03    100000.000000
2022-01-04    100230.588070
2022-01-05     98931.435456
2022-01-06     98429.922249
2022-01-07     98298.037043
                  ...      
2023-12-22     89677.506686
2023-12-26     89843.278026
2023-12-27     89826.286146
2023-12-28     89950.810078
2023-12-29     89899.840791
Length: 501, dtype: float64"
101,baseline,A2C,Group2,"2022-01-03    100000.000000
2022-01-04     99709.698439
2022-01-05     98780.820958
2022-01-06     98942.313035
2022-01-07     99152.105605
                  ...      
2023-12-22     83975.136829
2023-12-26     84409.596658
2023-12-27     84498.537515
2023-12-28     84475.171054
2023-12-29     84265.533845
Length: 501, dtype: float64"
101,baseline,DDPG,Group1,"2022-01-03    100000.000000
2022-01-04     99864.143939
2022-01-05     98510.468431
2022-01-06     97832.743505
2022-01-07     97465.038061
                  ...      
2023-12-22     98968.318727
2023-12-26     99150.582888
2023-12-27     99119.404377
2023-12-28     99229.557036
2023-12-29     99307.869857
Length: 501, dtype: float64"
101,baseline,DDPG,Group2,"2022-01-03    100000.000000
2022-01-04     99567.203768
2022-01-05     99090.876988
2022-01-06     99467.295821
2022-01-07     99720.648391
                  ...      
2023-12-22    100581.584488
2023-12-26    101363.017207
2023-12-27    101542.359321
2023-12-28    101583.303234
2023-12-29    101414.835974
Length: 501, dtype: float64"
101,naive,PPO,Group1,"2022-01-03    100000.000000
2022-01-04    100193.083991
2022-01-05     98827.652906
2022-01-06     98451.686208
2022-01-07     98044.947424
                  ...      
2023-12-22     79935.167474
2023-12-26     80070.041452
2023-12-27     79997.168624
2023-12-28     80079.659667
2023-12-29     80017.878919
Length: 501, dtype: float64"
