Cumulative Return,Volatility (Standard Deviation of Returns),Sharpe Ratio,Sortino Ratio,Maximum Drawdown,Calmar Ratio,Alpha,Beta,VaR (95%),iteration,strategy,rl_model,data_group
-0.11106334584429554,0.1514736120526963,-0.30866422581038694,-0.4712431276214052,-0.2329088409531087,-0.2007415648269077,,,-0.015075430976920795,134,baseline,PPO,Group1
-0.22588865388249876,0.1983781667882757,-0.5221589457876545,-0.7634428205822248,-0.35005343998081795,-0.29591177405121266,,,-0.018427294628721825,134,baseline,PPO,Group2
-0.027048815185851272,0.1592656380021647,-0.00732108569889212,-0.011181569224137456,-0.21914543139023937,-0.005320655681962395,,,-0.015029217142632844,134,baseline,A2C,Group1
-0.16932104429196057,0.1966558986159544,-0.3635206450062071,-0.5471658060135914,-0.32337896744874395,-0.22106718836152525,,,-0.020729437058491156,134,baseline,A2C,Group2
-0.0208564648480498,0.14619410256802617,0.0002850552201142799,0.000431445778284546,-0.19039239437315633,0.000218881600938645,,,-0.014167683439392714,134,baseline,DDPG,Group1
-0.026532286289889306,0.21662068597891088,0.04587245016740712,0.068901177688376,-0.3226455464988992,0.030798260600913136,,,-0.021615324694643206,134,baseline,DDPG,Group2
-0.14577227051600058,0.15237571179983078,-0.4303402796017193,-0.6553312564162932,-0.24727993290091377,-0.26517884266300634,,,-0.015160405966982737,134,naive,PPO,Group1
-0.21457253896802664,0.19770447596078872,-0.4912762621366346,-0.718612565614228,-0.346619548287255,-0.2802136129875908,,,-0.01993608610076203,134,naive,PPO,Group2
-0.05587304913694505,0.1628131141145165,-0.09598627616241666,-0.1456483789746523,-0.2334297989610697,-0.06694871264857394,,,-0.0157646378041284,134,naive,A2C,Group1
-0.14047050576107475,0.192216838809885,-0.29238175894224433,-0.4385249998931772,-0.3032461648551817,-0.18533028259859854,,,-0.01909211751250246,134,naive,A2C,Group2
-0.0208564648480498,0.14619410256802617,0.0002850552201142799,0.000431445778284546,-0.19039239437315633,0.000218881600938645,,,-0.014167683439392714,134,naive,DDPG,Group1
-0.026532286289889306,0.21662068597891088,0.04587245016740712,0.068901177688376,-0.3226455464988992,0.030798260600913136,,,-0.021615324694643206,134,naive,DDPG,Group2
-0.11073999040455731,0.15594772247401423,-0.294483285582938,-0.4381630795839465,-0.2359507521020946,-0.1946338262717333,,,-0.014888704044109613,134,ewc,PPO,Group1
-0.18994364540843714,0.19677213203497187,-0.42255802087258626,-0.6220464900227156,-0.3498809024456155,-0.23764555908707016,,,-0.019959037845210786,134,ewc,PPO,Group2
0.02527685249991482,0.16215634843606094,0.16052081596146395,0.24422411994296614,-0.23134702057162243,0.11251266301149329,,,-0.014757908752857752,134,ewc,A2C,Group1
-0.058005166187512516,0.20115641485345256,-0.048947586730733246,-0.07157814279409554,-0.2899125342270426,-0.0339623848576751,,,-0.021010048656480745,134,ewc,A2C,Group2
-0.0208564648480498,0.14619410256802617,0.0002850552201142799,0.000431445778284546,-0.19039239437315633,0.000218881600938645,,,-0.014167683439392714,134,ewc,DDPG,Group1
-0.026532286289889306,0.21662068597891088,0.04587245016740712,0.068901177688376,-0.3226455464988992,0.030798260600913136,,,-0.021615324694643206,134,ewc,DDPG,Group2
-0.16424360101918514,0.1546196924756082,-0.48824702710681545,-0.7294309689103474,-0.26991396427185227,-0.27969136530984,,,-0.014952233374842397,134,replay,PPO,Group1
-0.15872935568565807,0.19885351724775382,-0.3274722650792188,-0.4831185541422847,-0.3255493261323581,-0.2000280955446245,,,-0.020565074272645572,134,replay,PPO,Group2
-0.03415682985186693,0.15646026749641087,-0.03378276095376069,-0.0510620219238979,-0.2213172255939134,-0.02388273123074098,,,-0.014677879760754875,134,replay,A2C,Group1
-0.15599390984066835,0.19350348057555294,-0.3336901853862214,-0.48801880012090937,-0.34939374675721396,-0.1848064337310644,,,-0.0187960939188833,134,replay,A2C,Group2
-0.0208564648480498,0.14619410256802617,0.0002850552201142799,0.000431445778284546,-0.19039239437315633,0.000218881600938645,,,-0.014167683439392714,134,replay,DDPG,Group1
-0.026532286289889306,0.21662068597891088,0.04587245016740712,0.068901177688376,-0.3226455464988992,0.030798260600913136,,,-0.021615324694643206,134,replay,DDPG,Group2
