iteration,strategy,rl_model,data_group,portfolio_values
122,baseline,PPO,Group1,"2022-01-03    100000.000000
2022-01-04     98903.035962
2022-01-05     98110.608962
2022-01-06     97549.582458
2022-01-07     97296.186837
                  ...      
2023-12-22     77711.295508
2023-12-26     77977.597254
2023-12-27     78141.207366
2023-12-28     78253.468079
2023-12-29     78267.788241
Length: 501, dtype: float64"
122,baseline,PPO,Group2,"2022-01-03    100000.000000
2022-01-04    100253.060897
2022-01-05     98798.541589
2022-01-06     98727.368231
2022-01-07     98353.951317
                  ...      
2023-12-22     87995.889185
2023-12-26     88114.534080
2023-12-27     88017.474745
2023-12-28     88072.236133
2023-12-29     87897.445267
Length: 501, dtype: float64"
122,baseline,A2C,Group1,"2022-01-03    100000.000000
2022-01-04     99242.474893
2022-01-05     98812.837646
2022-01-06     98405.399820
2022-01-07     98211.003364
                  ...      
2023-12-22     83775.501680
2023-12-26     84215.721771
2023-12-27     84462.603291
2023-12-28     84592.904588
2023-12-29     84538.748649
Length: 501, dtype: float64"
122,baseline,A2C,Group2,"2022-01-03    100000.000000
2022-01-04    100047.369588
2022-01-05     98812.025764
2022-01-06     98730.102744
2022-01-07     98443.844689
                  ...      
2023-12-22     84957.954526
2023-12-26     85103.229994
2023-12-27     84982.830955
2023-12-28     85043.570887
2023-12-29     84918.812130
Length: 501, dtype: float64"
122,baseline,DDPG,Group1,"2022-01-03    100000.000000
2022-01-04     99574.188129
2022-01-05     99083.449375
2022-01-06     98634.121793
2022-01-07     98444.848366
                  ...      
2023-12-22     97594.345267
2023-12-26     98178.569909
2023-12-27     98426.194344
2023-12-28     98573.681636
2023-12-29     98605.865855
Length: 501, dtype: float64"
122,baseline,DDPG,Group2,"2022-01-03    100000.000000
2022-01-04     99842.592423
2022-01-05     98593.050729
2022-01-06     98587.965037
2022-01-07     98556.356296
                  ...      
2023-12-22    103386.095668
2023-12-26    103606.783513
2023-12-27    103525.484060
2023-12-28    103658.688284
2023-12-29    103577.673421
Length: 501, dtype: float64"
122,naive,PPO,Group1,"2022-01-03    100000.000000
2022-01-04     99535.170265
2022-01-05     99687.789623
2022-01-06     99215.897436
2022-01-07     99108.363429
                  ...      
2023-12-22     80495.090122
2023-12-26     80778.338216
2023-12-27     80981.804485
2023-12-28     81075.155574
2023-12-29     81056.910945
Length: 501, dtype: float64"
122,naive,PPO,Group2,"2022-01-03    100000.000000
2022-01-04    100397.033426
2022-01-05     99074.763504
2022-01-06     99283.556228
2022-01-07     99229.760387
                  ...      
2023-12-22     96980.197721
2023-12-26     97249.103282
2023-12-27     97151.325451
2023-12-28     97145.711369
2023-12-29     97059.148412
Length: 501, dtype: float64"
122,naive,A2C,Group1,"2022-01-03    100000.000000
2022-01-04     99381.986129
2022-01-05     98722.627824
2022-01-06     98479.168823
2022-01-07     98213.462456
                  ...      
2023-12-22     82282.420606
2023-12-26     82620.305257
2023-12-27     82817.182321
2023-12-28     82910.127766
2023-12-29     82932.477491
Length: 501, dtype: float64"
122,naive,A2C,Group2,"2022-01-03    100000.000000
2022-01-04     99975.482688
2022-01-05     98613.015392
2022-01-06     98762.965751
2022-01-07     98560.289220
                  ...      
2023-12-22     93737.719647
2023-12-26     93972.329923
2023-12-27     93890.028253
2023-12-28     93927.160028
2023-12-29     93767.228421
Length: 501, dtype: float64"
