iteration,strategy,rl_model,data_group,portfolio_values
109,baseline,PPO,Group1,"2022-01-03    100000.000000
2022-01-04    100878.862003
2022-01-05    100962.325342
2022-01-06    100610.097028
2022-01-07    100736.225602
                  ...      
2023-12-22     79168.452874
2023-12-26     79238.653581
2023-12-27     79316.578051
2023-12-28     79413.750096
2023-12-29     79403.487674
Length: 501, dtype: float64"
109,baseline,PPO,Group2,"2022-01-03    100000.000000
2022-01-04     99217.816369
2022-01-05     97410.851093
2022-01-06     97359.273092
2022-01-07     97037.201228
                  ...      
2023-12-22     81592.416000
2023-12-26     82296.829977
2023-12-27     82297.607468
2023-12-28     82384.739420
2023-12-29     82284.600660
Length: 501, dtype: float64"
109,baseline,A2C,Group1,"2022-01-03    100000.000000
2022-01-04    100714.640141
2022-01-05    101126.236140
2022-01-06    100812.869289
2022-01-07    101217.400898
                  ...      
2023-12-22     90206.059547
2023-12-26     90348.418478
2023-12-27     90422.143245
2023-12-28     90621.825320
2023-12-29     90651.077625
Length: 501, dtype: float64"
109,baseline,A2C,Group2,"2022-01-03    100000.000000
2022-01-04     98891.010796
2022-01-05     97318.250649
2022-01-06     97432.683893
2022-01-07     97152.429816
                  ...      
2023-12-22     84007.172238
2023-12-26     84377.172072
2023-12-27     84354.926349
2023-12-28     84346.500454
2023-12-29     84227.225506
Length: 501, dtype: float64"
109,baseline,DDPG,Group1,"2022-01-03    100000.000000
2022-01-04    101143.800651
2022-01-05    101097.644977
2022-01-06    101003.022877
2022-01-07    101471.107348
                  ...      
2023-12-22     95745.943424
2023-12-26     96010.885220
2023-12-27     96136.616207
2023-12-28     96318.575737
2023-12-29     96350.327863
Length: 501, dtype: float64"
109,baseline,DDPG,Group2,"2022-01-03    100000.000000
2022-01-04     99063.620919
2022-01-05     97131.249489
2022-01-06     97317.147715
2022-01-07     97035.698321
                  ...      
2023-12-22    106091.424183
2023-12-26    106567.051778
2023-12-27    106621.937393
2023-12-28    106716.752671
2023-12-29    106558.574894
Length: 501, dtype: float64"
109,naive,PPO,Group1,"2022-01-03    100000.000000
2022-01-04    100774.922534
2022-01-05    100990.068409
2022-01-06    100664.086809
2022-01-07    100977.342163
                  ...      
2023-12-22     81916.226384
2023-12-26     81975.713045
2023-12-27     82037.431393
2023-12-28     82163.323389
2023-12-29     82176.634080
Length: 501, dtype: float64"
109,naive,PPO,Group2,"2022-01-03    100000.000000
2022-01-04     99065.485916
2022-01-05     96778.804434
2022-01-06     96861.316335
2022-01-07     96569.149663
                  ...      
2023-12-22     82487.137730
2023-12-26     82898.138312
2023-12-27     82892.529833
2023-12-28     82859.013238
2023-12-29     82669.074616
Length: 501, dtype: float64"
109,naive,A2C,Group1,"2022-01-03    100000.000000
2022-01-04    100545.455155
2022-01-05    100738.158240
2022-01-06    100121.653439
2022-01-07    100325.553552
                  ...      
2023-12-22     85976.015197
2023-12-26     86059.185119
2023-12-27     86168.523659
2023-12-28     86389.682582
2023-12-29     86386.066468
Length: 501, dtype: float64"
109,naive,A2C,Group2,"2022-01-03    100000.000000
2022-01-04     99169.083061
2022-01-05     97142.144451
2022-01-06     97214.395303
2022-01-07     97112.977871
                  ...      
2023-12-22     88759.239437
2023-12-26     89162.560843
2023-12-27     89112.732824
2023-12-28     89173.106678
2023-12-29     89025.342979
Length: 501, dtype: float64"
