Cumulative Return,Volatility (Standard Deviation of Returns),Sharpe Ratio,Sortino Ratio,Maximum Drawdown,Calmar Ratio,Alpha,Beta,VaR (95%),iteration,strategy,rl_model,data_group
-0.1232610763541721,0.1746718824689171,-0.28506404696167575,-0.4409825368473158,-0.3059520013068139,-0.16274668410183316,,,-0.01668524060465661,125,baseline,PPO,Group1
-0.21804588509855677,0.17536938248973516,-0.5866725369958986,-0.8211853768823854,-0.3248258640491028,-0.3167370949288212,,,-0.017676092957906096,125,baseline,PPO,Group2
-0.09988384653208109,0.17153474068638322,-0.2193330408253215,-0.3362169702278213,-0.3016612568774618,-0.12472014693358655,,,-0.01571219951728,125,baseline,A2C,Group1
-0.1262789801642255,0.17035979129812037,-0.30595856248983305,-0.44804058772056915,-0.25898492291331554,-0.20125896235699753,,,-0.0174362646337595,125,baseline,A2C,Group2
-0.03861829830299539,0.17301977992014217,-0.028325733558442766,-0.04302604135093388,-0.24964530264390603,-0.01963150171244765,,,-0.01775082460507042,125,baseline,DDPG,Group1
-0.04120296910288962,0.17359664140474299,-0.03532682369154628,-0.05268673995637685,-0.2585014894462515,-0.02372372382645421,,,-0.016989398001868692,125,baseline,DDPG,Group2
-0.22084817023122813,0.1713854050004053,-0.6135576253650112,-0.9267636432879406,-0.33882343088515177,-0.3103528638487605,,,-0.01739447045164361,125,naive,PPO,Group1
-0.20064735773390843,0.17059331281847656,-0.5489547995519181,-0.8195227340080805,-0.2816460131893028,-0.3325025509245209,,,-0.017830140615652905,125,naive,PPO,Group2
-0.07872142633724827,0.17326318651857528,-0.15001493458698523,-0.22850853160999537,-0.28418300886513026,-0.09146241957151001,,,-0.01674956599473507,125,naive,A2C,Group1
-0.12703569715295338,0.17541905672208027,-0.29482426649280863,-0.4369687106141127,-0.24607616469316534,-0.21016986668105425,,,-0.017317056701902554,125,naive,A2C,Group2
-0.03861829830299539,0.17301977992014217,-0.028325733558442766,-0.04302604135093388,-0.24964530264390603,-0.01963150171244765,,,-0.01775082460507042,125,naive,DDPG,Group1
-0.04120296910288962,0.17359664140474299,-0.03532682369154628,-0.05268673995637685,-0.2585014894462515,-0.02372372382645421,,,-0.016989398001868692,125,naive,DDPG,Group2
-0.14873552140014668,0.174773483668986,-0.3650090981957557,-0.5607145789989695,-0.3062606678381118,-0.2082993944761736,,,-0.017282054814654706,125,ewc,PPO,Group1
-0.2130421823084254,0.175907460398418,-0.5679805009302004,-0.8130483958986459,-0.3094036102161811,-0.3229180403054898,,,-0.018051779729854927,125,ewc,PPO,Group2
-0.0571168181204531,0.1644392234350669,-0.09742072891642896,-0.1501143267042837,-0.254728388781229,-0.06288968844871932,,,-0.01608770823519339,125,ewc,A2C,Group1
-0.0073814047751137694,0.18858318033101445,0.07495034427378856,0.10948873072689667,-0.24659238866562214,0.05731877762545873,,,-0.018991532454163667,125,ewc,A2C,Group2
-0.03861829830299539,0.17301977992014217,-0.028325733558442766,-0.04302604135093388,-0.24964530264390603,-0.01963150171244765,,,-0.01775082460507042,125,ewc,DDPG,Group1
-0.04120296910288962,0.17359664140474299,-0.03532682369154628,-0.05268673995637685,-0.2585014894462515,-0.02372372382645421,,,-0.016989398001868692,125,ewc,DDPG,Group2
-0.1451171588636936,0.17365822448764642,-0.3567806881850449,-0.5367563339049166,-0.2984576382001892,-0.2075936176916923,,,-0.01665840038666888,125,replay,PPO,Group1
-0.20928990149919235,0.17755300778700453,-0.5490180548737857,-0.7663725806877383,-0.30554816390520323,-0.3190325404882964,,,-0.01788393825855472,125,replay,PPO,Group2
-0.07840109385661155,0.16957488173189225,-0.15590359619354408,-0.23650467770132189,-0.2997419226170727,-0.08820032131398328,,,-0.016369956128857638,125,replay,A2C,Group1
-0.07680246444143646,0.17273018525003378,-0.1449609287319569,-0.20793843221459268,-0.24840023669783565,-0.10080154675676294,,,-0.017551245500378707,125,replay,A2C,Group2
-0.03861829830299539,0.17301977992014217,-0.028325733558442766,-0.04302604135093388,-0.24964530264390603,-0.01963150171244765,,,-0.01775082460507042,125,replay,DDPG,Group1
-0.04120296910288962,0.17359664140474299,-0.03532682369154628,-0.05268673995637685,-0.2585014894462515,-0.02372372382645421,,,-0.016989398001868692,125,replay,DDPG,Group2
