Cumulative Return,Volatility (Standard Deviation of Returns),Sharpe Ratio,Sortino Ratio,Maximum Drawdown,Calmar Ratio,Alpha,Beta,VaR (95%),iteration,strategy,rl_model,data_group
-0.15181493431279772,0.18764417030411978,-0.3373448639976471,-0.5004565411311653,-0.30636630174974316,-0.20661801493723744,,,-0.018513649380945768,131,baseline,PPO,Group1
-0.1389551350995185,0.16495094772743785,-0.36347316237429467,-0.5484152420743997,-0.26412227856559095,-0.2269980515567898,,,-0.016968477203346172,131,baseline,PPO,Group2
-0.14945664854249946,0.19957847340996868,-0.29971811515407043,-0.44340781975461846,-0.3372117704111668,-0.17738788833742833,,,-0.01925087032104713,131,baseline,A2C,Group1
-0.11204925815185328,0.1633963366280086,-0.27846266221038013,-0.42571756814963746,-0.26934361641056853,-0.1689283729802679,,,-0.016477976806249316,131,baseline,A2C,Group2
-0.04538745316944755,0.19805813650748047,-0.019153595952326786,-0.027793021085860677,-0.2953816045476768,-0.01284279543251909,,,-0.01916344593189724,131,baseline,DDPG,Group1
0.05456001876296883,0.15280909514886098,0.25634426805438393,0.38834441304389583,-0.2066613613715106,0.18954552214319983,,,-0.01503934070313312,131,baseline,DDPG,Group2
-0.22244876921314716,0.18786663914768678,-0.5504911378667743,-0.8210195334506268,-0.32887258443643586,-0.3144650081697688,,,-0.019458630169227418,131,naive,PPO,Group1
-0.1454138995855322,0.1617122928925688,-0.3957638093127869,-0.5994163809951657,-0.2829472569354051,-0.22619011663533767,,,-0.016690292082826255,131,naive,PPO,Group2
-0.2162976297123682,0.20071509868562296,-0.48630882523138225,-0.7263165467385666,-0.3556471585410085,-0.2744560767712452,,,-0.020313899324292034,131,naive,A2C,Group1
-0.020290537434832223,0.14236479389638748,-0.0015191283469736115,-0.002305172451735836,-0.1860456557857186,-0.001162458715338945,,,-0.01422770088848307,131,naive,A2C,Group2
-0.04538745316944755,0.19805813650748047,-0.019153595952326786,-0.027793021085860677,-0.2953816045476768,-0.01284279543251909,,,-0.01916344593189724,131,naive,DDPG,Group1
0.05456001876296883,0.15280909514886098,0.25634426805438393,0.38834441304389583,-0.2066613613715106,0.18954552214319983,,,-0.01503934070313312,131,naive,DDPG,Group2
-0.2516316528029514,0.18666638819425138,-0.6467224926679069,-0.9345883223420248,-0.3322839085614892,-0.3633078483785859,,,-0.01913713334880435,131,ewc,PPO,Group1
-0.11900750535874846,0.16185467692721203,-0.30591667676869044,-0.45608911205839364,-0.2591616458150386,-0.19105467836232404,,,-0.01769909025044427,131,ewc,PPO,Group2
-0.13963479852195101,0.18688262899021887,-0.3033138045397774,-0.45689837605279066,-0.3311575714596518,-0.1711695159243109,,,-0.018564744655103136,131,ewc,A2C,Group1
0.011028819736628793,0.1712930715765475,0.11890514695012908,0.18286945185733983,-0.2550942239056701,0.07984354775073225,,,-0.017655336849415188,131,ewc,A2C,Group2
-0.04538745316944755,0.19805813650748047,-0.019153595952326786,-0.027793021085860677,-0.2953816045476768,-0.01284279543251909,,,-0.01916344593189724,131,ewc,DDPG,Group1
0.05456001876296883,0.15280909514886098,0.25634426805438393,0.38834441304389583,-0.2066613613715106,0.18954552214319983,,,-0.01503934070313312,131,ewc,DDPG,Group2
-0.219176827253042,0.18975875136298256,-0.5332312705170087,-0.774126667768792,-0.337378043366489,-0.299916672322058,,,-0.02003642756715361,131,replay,PPO,Group1
-0.10613283092247293,0.16361675726044164,-0.2583370582037793,-0.3923989804622526,-0.2701315865388234,-0.15647289635797376,,,-0.016245888564312003,131,replay,PPO,Group2
-0.22002900351942356,0.1937883458512674,-0.5211661485143793,-0.7701398224008558,-0.3557650096639079,-0.2838838083871391,,,-0.019360644122168584,131,replay,A2C,Group1
-0.07786935625411745,0.16946757447223096,-0.15441041069868447,-0.23022962018915877,-0.28392089025349965,-0.0921649609896732,,,-0.017141578284648337,131,replay,A2C,Group2
-0.04538745316944755,0.19805813650748047,-0.019153595952326786,-0.027793021085860677,-0.2953816045476768,-0.01284279543251909,,,-0.01916344593189724,131,replay,DDPG,Group1
0.05456001876296883,0.15280909514886098,0.25634426805438393,0.38834441304389583,-0.2066613613715106,0.18954552214319983,,,-0.01503934070313312,131,replay,DDPG,Group2
