iteration,strategy,rl_model,data_group,portfolio_values
123,baseline,PPO,Group1,"2022-01-03    100000.000000
2022-01-04     99224.859517
2022-01-05     98457.664938
2022-01-06     98372.923742
2022-01-07     98167.663982
                  ...      
2023-12-22     85839.725206
2023-12-26     85987.477170
2023-12-27     86020.672612
2023-12-28     86150.912396
2023-12-29     86141.014472
Length: 501, dtype: float64"
123,baseline,PPO,Group2,"2022-01-03    100000.000000
2022-01-04    100060.431941
2022-01-05     99475.027804
2022-01-06     99568.920366
2022-01-07     99708.508337
                  ...      
2023-12-22     80417.485271
2023-12-26     80893.147619
2023-12-27     80887.910575
2023-12-28     80864.173650
2023-12-29     80740.989760
Length: 501, dtype: float64"
123,baseline,A2C,Group1,"2022-01-03    100000.000000
2022-01-04     99373.391548
2022-01-05     98171.322694
2022-01-06     98097.858597
2022-01-07     97767.720306
                  ...      
2023-12-22     88562.435046
2023-12-26     88683.308907
2023-12-27     88654.438934
2023-12-28     88783.191932
2023-12-29     88785.316541
Length: 501, dtype: float64"
123,baseline,A2C,Group2,"2022-01-03    100000.000000
2022-01-04     99946.526234
2022-01-05     99380.632727
2022-01-06     98936.522759
2022-01-07     99048.146756
                  ...      
2023-12-22     84816.117906
2023-12-26     85474.375441
2023-12-27     85559.935588
2023-12-28     85543.842785
2023-12-29     85429.957627
Length: 501, dtype: float64"
123,baseline,DDPG,Group1,"2022-01-03    100000.000000
2022-01-04     99471.720971
2022-01-05     98310.285270
2022-01-06     98129.396306
2022-01-07     98136.493361
                  ...      
2023-12-22    103964.241662
2023-12-26    104145.847522
2023-12-27    104182.000401
2023-12-28    104363.629097
2023-12-29    104443.770524
Length: 501, dtype: float64"
123,baseline,DDPG,Group2,"2022-01-03    100000.000000
2022-01-04     99869.613808
2022-01-05     99092.441891
2022-01-06     98679.242506
2022-01-07     98767.739044
                  ...      
2023-12-22     96575.003156
2023-12-26     96984.740410
2023-12-27     97046.757838
2023-12-28     97060.551711
2023-12-29     96876.199628
Length: 501, dtype: float64"
123,naive,PPO,Group1,"2022-01-03    100000.000000
2022-01-04     99307.262453
2022-01-05     98159.918238
2022-01-06     97979.704693
2022-01-07     97821.225496
                  ...      
2023-12-22     82081.223311
2023-12-26     82208.087795
2023-12-27     82245.548579
2023-12-28     82404.062558
2023-12-29     82360.126914
Length: 501, dtype: float64"
123,naive,PPO,Group2,"2022-01-03    100000.000000
2022-01-04    100346.786355
2022-01-05     99710.571041
2022-01-06     99519.453718
2022-01-07     99469.180850
                  ...      
2023-12-22     81125.790910
2023-12-26     81507.993394
2023-12-27     81560.577056
2023-12-28     81449.845529
2023-12-29     81302.181963
Length: 501, dtype: float64"
123,naive,A2C,Group1,"2022-01-03    100000.000000
2022-01-04     99318.080905
2022-01-05     98157.197115
2022-01-06     98115.569765
2022-01-07     97736.444157
                  ...      
2023-12-22     85238.927526
2023-12-26     85372.199662
2023-12-27     85340.652067
2023-12-28     85473.800602
2023-12-29     85497.923890
Length: 501, dtype: float64"
123,naive,A2C,Group2,"2022-01-03    100000.000000
2022-01-04     99909.893506
2022-01-05     99234.649593
2022-01-06     99039.541819
2022-01-07     98961.426583
                  ...      
2023-12-22     82853.727110
2023-12-26     83182.230413
2023-12-27     83300.764380
2023-12-28     83328.214473
2023-12-29     83177.850629
Length: 501, dtype: float64"
123,naive,DDPG,Group1,"2022-01-03    100000.000000
2022-01-04     99471.720971
2022-01-05     98310.285270
2022-01-06     98129.396306
2022-01-07     98136.493361
                  ...      
2023-12-22    103964.241662
2023-12-26    104145.847522
2023-12-27    104182.000401
2023-12-28    104363.629097
2023-12-29    104443.770524
Length: 501, dtype: float64"
123,naive,DDPG,Group2,"2022-01-03    100000.000000
2022-01-04     99869.613808
2022-01-05     99092.441891
2022-01-06     98679.242506
2022-01-07     98767.739044
                  ...      
2023-12-22     96575.003156
2023-12-26     96984.740410
2023-12-27     97046.757838
2023-12-28     97060.551711
2023-12-29     96876.199628
Length: 501, dtype: float64"
123,ewc,PPO,Group1,"2022-01-03    100000.000000
2022-01-04     99169.550002
2022-01-05     98060.926294
2022-01-06     97893.093061
2022-01-07     97838.597947
                  ...      
2023-12-22     84257.316337
2023-12-26     84399.872946
2023-12-27     84433.809114
2023-12-28     84632.354942
2023-12-29     84628.580218
Length: 501, dtype: float64"
123,ewc,PPO,Group2,"2022-01-03    100000.000000
2022-01-04     99905.440401
2022-01-05     99451.551340
2022-01-06     99281.601585
2022-01-07     99405.582474
                  ...      
2023-12-22     82855.407756
2023-12-26     83544.777744
2023-12-27     83616.712788
2023-12-28     83641.467134
2023-12-29     83523.705878
Length: 501, dtype: float64"
123,ewc,A2C,Group1,"2022-01-03    100000.000000
2022-01-04     99349.747807
2022-01-05     98257.734825
2022-01-06     98143.910314
2022-01-07     97843.245843
                  ...      
2023-12-22     91467.216491
2023-12-26     91582.773708
2023-12-27     91594.236569
2023-12-28     91767.314780
2023-12-29     91805.724390
Length: 501, dtype: float64"
123,ewc,A2C,Group2,"2022-01-03    100000.000000
2022-01-04    100128.239589
2022-01-05     99547.764659
2022-01-06     99162.377451
2022-01-07     99222.962410
                  ...      
2023-12-22     92719.665243
2023-12-26     93123.446335
2023-12-27     93313.527593
2023-12-28     93407.400001
2023-12-29     93336.291947
Length: 501, dtype: float64"
123,ewc,DDPG,Group1,"2022-01-03    100000.000000
2022-01-04     99471.720971
2022-01-05     98310.285270
2022-01-06     98129.396306
2022-01-07     98136.493361
                  ...      
2023-12-22    103964.241662
2023-12-26    104145.847522
2023-12-27    104182.000401
2023-12-28    104363.629097
2023-12-29    104443.770524
Length: 501, dtype: float64"
123,ewc,DDPG,Group2,"2022-01-03    100000.000000
2022-01-04     99869.613808
2022-01-05     99092.441891
2022-01-06     98679.242506
2022-01-07     98767.739044
                  ...      
2023-12-22     96575.003156
2023-12-26     96984.740410
2023-12-27     97046.757838
2023-12-28     97060.551711
2023-12-29     96876.199628
Length: 501, dtype: float64"
123,replay,PPO,Group1,"2022-01-03    100000.000000
2022-01-04     99140.407929
2022-01-05     97791.552234
2022-01-06     97679.190663
2022-01-07     97693.810841
                  ...      
2023-12-22     81460.131479
2023-12-26     81567.698815
2023-12-27     81574.018513
2023-12-28     81720.063890
2023-12-29     81708.749585
Length: 501, dtype: float64"
123,replay,PPO,Group2,"2022-01-03    100000.000000
2022-01-04    100512.366444
2022-01-05    100032.524025
2022-01-06     99609.335584
2022-01-07     99873.662783
                  ...      
2023-12-22     82324.796296
2023-12-26     82605.178847
2023-12-27     82627.672742
2023-12-28     82612.418317
2023-12-29     82454.113420
Length: 501, dtype: float64"
123,replay,A2C,Group1,"2022-01-03    100000.000000
2022-01-04     99316.268249
2022-01-05     97892.771673
2022-01-06     97842.920093
2022-01-07     97462.688393
                  ...      
2023-12-22     86835.911957
2023-12-26     86973.202684
2023-12-27     86991.061605
2023-12-28     87191.000560
2023-12-29     87184.087047
Length: 501, dtype: float64"
123,replay,A2C,Group2,"2022-01-03    100000.000000
2022-01-04    100531.847644
2022-01-05     99661.954648
2022-01-06     99424.664370
2022-01-07     99372.403332
                  ...      
2023-12-22     84740.952319
2023-12-26     85170.974357
2023-12-27     85218.068036
2023-12-28     85124.015329
2023-12-29     84917.308617
Length: 501, dtype: float64"
123,replay,DDPG,Group1,"2022-01-03    100000.000000
2022-01-04     99471.720971
2022-01-05     98310.285270
2022-01-06     98129.396306
2022-01-07     98136.493361
                  ...      
2023-12-22    103964.241662
2023-12-26    104145.847522
2023-12-27    104182.000401
2023-12-28    104363.629097
2023-12-29    104443.770524
Length: 501, dtype: float64"
123,replay,DDPG,Group2,"2022-01-03    100000.000000
2022-01-04     99869.613808
2022-01-05     99092.441891
2022-01-06     98679.242506
2022-01-07     98767.739044
                  ...      
2023-12-22     96575.003156
2023-12-26     96984.740410
2023-12-27     97046.757838
2023-12-28     97060.551711
2023-12-29     96876.199628
Length: 501, dtype: float64"
