iteration,strategy,rl_model,data_group,portfolio_values
132,baseline,PPO,Group1,"2022-01-03    100000.000000
2022-01-04    100481.958783
2022-01-05     99757.384519
2022-01-06     99680.492114
2022-01-07     99944.400070
                  ...      
2023-12-22     81846.087681
2023-12-26     81874.474429
2023-12-27     81869.052044
2023-12-28     81910.905555
2023-12-29     81946.167063
Length: 501, dtype: float64"
132,baseline,PPO,Group2,"2022-01-03    100000.000000
2022-01-04     99486.509521
2022-01-05     98673.292649
2022-01-06     98808.324251
2022-01-07     98340.735299
                  ...      
2023-12-22     80003.807499
2023-12-26     80625.378770
2023-12-27     80670.634554
2023-12-28     80778.245953
2023-12-29     80588.201961
Length: 501, dtype: float64"
132,baseline,A2C,Group1,"2022-01-03    100000.000000
2022-01-04     99927.130316
2022-01-05     98743.377786
2022-01-06     98780.177039
2022-01-07     99169.235711
                  ...      
2023-12-22     85359.339735
2023-12-26     85394.982689
2023-12-27     85353.596098
2023-12-28     85410.089510
2023-12-29     85436.032166
Length: 501, dtype: float64"
132,baseline,A2C,Group2,"2022-01-03    100000.000000
2022-01-04     99416.832020
2022-01-05     98802.867095
2022-01-06     98687.490099
2022-01-07     98167.969073
                  ...      
2023-12-22     83164.585276
2023-12-26     83551.102204
2023-12-27     83526.211545
2023-12-28     83640.100100
2023-12-29     83447.530380
Length: 501, dtype: float64"
132,baseline,DDPG,Group1,"2022-01-03    100000.000000
2022-01-04    100166.183871
2022-01-05     99585.301039
2022-01-06     99490.130168
2022-01-07     99897.134983
                  ...      
2023-12-22     99707.843690
2023-12-26     99837.938558
2023-12-27     99772.021393
2023-12-28     99757.055286
2023-12-29     99863.313464
Length: 501, dtype: float64"
132,baseline,DDPG,Group2,"2022-01-03    100000.000000
2022-01-04     99506.993397
2022-01-05     98714.711747
2022-01-06     98376.508468
2022-01-07     98070.980298
                  ...      
2023-12-22     95967.225873
2023-12-26     96426.705400
2023-12-27     96507.544247
2023-12-28     96712.305890
2023-12-29     96580.013064
Length: 501, dtype: float64"
132,naive,PPO,Group1,"2022-01-03    100000.000000
2022-01-04    100339.994910
2022-01-05     99457.868601
2022-01-06     99198.636553
2022-01-07     99668.680873
                  ...      
2023-12-22     86422.505951
2023-12-26     86447.459721
2023-12-27     86470.613032
2023-12-28     86527.223120
2023-12-29     86537.985252
Length: 501, dtype: float64"
132,naive,PPO,Group2,"2022-01-03    100000.000000
2022-01-04     99883.067426
2022-01-05     98935.929373
2022-01-06     98807.483330
2022-01-07     98265.939259
                  ...      
2023-12-22     75134.415781
2023-12-26     75492.934626
2023-12-27     75584.472752
2023-12-28     75645.069053
2023-12-29     75496.497255
Length: 501, dtype: float64"
132,naive,A2C,Group1,"2022-01-03    100000.000000
2022-01-04    100198.061893
2022-01-05     98946.726051
2022-01-06     98834.440843
2022-01-07     99096.375219
                  ...      
2023-12-22     84414.292831
2023-12-26     84484.781095
2023-12-27     84455.791672
2023-12-28     84520.851884
2023-12-29     84516.150839
Length: 501, dtype: float64"
132,naive,A2C,Group2,"2022-01-03    100000.000000
2022-01-04     99471.648720
2022-01-05     98369.557019
2022-01-06     98268.215092
2022-01-07     97870.946411
                  ...      
2023-12-22     94142.847423
2023-12-26     94629.069181
2023-12-27     94696.788827
2023-12-28     94916.694035
2023-12-29     94820.380630
Length: 501, dtype: float64"
132,naive,DDPG,Group1,"2022-01-03    100000.000000
2022-01-04    100166.183871
2022-01-05     99585.301039
2022-01-06     99490.130168
2022-01-07     99897.134983
                  ...      
2023-12-22     99707.843690
2023-12-26     99837.938558
2023-12-27     99772.021393
2023-12-28     99757.055286
2023-12-29     99863.313464
Length: 501, dtype: float64"
132,naive,DDPG,Group2,"2022-01-03    100000.000000
2022-01-04     99506.993397
2022-01-05     98714.711747
2022-01-06     98376.508468
2022-01-07     98070.980298
                  ...      
2023-12-22     95967.225873
2023-12-26     96426.705400
2023-12-27     96507.544247
2023-12-28     96712.305890
2023-12-29     96580.013064
Length: 501, dtype: float64"
132,ewc,PPO,Group1,"2022-01-03    100000.000000
2022-01-04     99862.473563
2022-01-05     98846.192282
2022-01-06     98422.282970
2022-01-07     98741.154911
                  ...      
2023-12-22     82482.116470
2023-12-26     82520.571669
2023-12-27     82536.854359
2023-12-28     82562.195725
2023-12-29     82591.503814
Length: 501, dtype: float64"
132,ewc,PPO,Group2,"2022-01-03    100000.000000
2022-01-04     99078.891733
2022-01-05     98066.829668
2022-01-06     98054.655496
2022-01-07     97775.063909
                  ...      
2023-12-22     79354.861167
2023-12-26     79747.717592
2023-12-27     79789.539853
2023-12-28     79927.376066
2023-12-29     79715.323419
Length: 501, dtype: float64"
132,ewc,A2C,Group1,"2022-01-03    100000.000000
2022-01-04     99813.369569
2022-01-05     98970.532067
2022-01-06     98383.067258
2022-01-07     98356.417110
                  ...      
2023-12-22     94576.532892
2023-12-26     94645.183105
2023-12-27     94677.549119
2023-12-28     94784.347760
2023-12-29     94793.047901
Length: 501, dtype: float64"
132,ewc,A2C,Group2,"2022-01-03    100000.000000
2022-01-04     99276.503224
2022-01-05     98201.978471
2022-01-06     98398.905610
2022-01-07     98332.884487
                  ...      
2023-12-22     96796.009828
2023-12-26     97330.360902
2023-12-27     97464.248507
2023-12-28     97703.398223
2023-12-29     97529.214234
Length: 501, dtype: float64"
