iteration,strategy,rl_model,data_group,portfolio_values
130,baseline,PPO,Group1,"2022-01-03    100000.000000
2022-01-04     99921.576778
2022-01-05     99614.838079
2022-01-06     99272.027777
2022-01-07     99368.949823
                  ...      
2023-12-22     79814.435291
2023-12-26     79899.914017
2023-12-27     79865.197451
2023-12-28     79894.406299
2023-12-29     79815.818962
Length: 501, dtype: float64"
130,baseline,PPO,Group2,"2022-01-03    100000.000000
2022-01-04     99078.163771
2022-01-05     97275.542895
2022-01-06     97392.907178
2022-01-07     97084.649202
                  ...      
2023-12-22     88393.596700
2023-12-26     88841.895958
2023-12-27     88902.211722
2023-12-28     89012.795867
2023-12-29     88899.036130
Length: 501, dtype: float64"
130,baseline,A2C,Group1,"2022-01-03    100000.000000
2022-01-04     99907.090561
2022-01-05     99366.679177
2022-01-06     99027.793901
2022-01-07     98983.723932
                  ...      
2023-12-22     79368.718171
2023-12-26     79473.223325
2023-12-27     79398.291780
2023-12-28     79347.989055
2023-12-29     79361.977173
Length: 501, dtype: float64"
130,baseline,A2C,Group2,"2022-01-03    100000.000000
2022-01-04     99546.303949
2022-01-05     97943.234550
2022-01-06     97954.845143
2022-01-07     98105.254369
                  ...      
2023-12-22     88552.472299
2023-12-26     89066.061772
2023-12-27     89145.122793
2023-12-28     89267.646094
2023-12-29     89134.021177
Length: 501, dtype: float64"
130,baseline,DDPG,Group1,"2022-01-03    100000.000000
2022-01-04     99784.724193
2022-01-05     99679.738628
2022-01-06     99225.273148
2022-01-07     99397.342074
                  ...      
2023-12-22     89873.672108
2023-12-26     89978.786344
2023-12-27     89994.231558
2023-12-28     90170.077170
2023-12-29     90184.921568
Length: 501, dtype: float64"
130,baseline,DDPG,Group2,"2022-01-03    100000.000000
2022-01-04     99552.829805
2022-01-05     98076.907815
2022-01-06     98325.171289
2022-01-07     98495.871507
                  ...      
2023-12-22    108169.453433
2023-12-26    108746.673912
2023-12-27    108908.525842
2023-12-28    109141.406073
2023-12-29    109015.534316
Length: 501, dtype: float64"
130,naive,PPO,Group1,"2022-01-03    100000.000000
2022-01-04     99658.004274
2022-01-05     99565.647495
2022-01-06     99116.328457
2022-01-07     99086.368962
                  ...      
2023-12-22     76727.349147
2023-12-26     76783.605979
2023-12-27     76788.289625
2023-12-28     76835.829737
2023-12-29     76835.320871
Length: 501, dtype: float64"
130,naive,PPO,Group2,"2022-01-03    100000.000000
2022-01-04     99957.336928
2022-01-05     98753.681394
2022-01-06     98841.218709
2022-01-07     98882.444748
                  ...      
2023-12-22     91240.514460
2023-12-26     91978.834283
2023-12-27     92055.752074
2023-12-28     92159.522057
2023-12-29     91990.869742
Length: 501, dtype: float64"
130,naive,A2C,Group1,"2022-01-03    100000.000000
2022-01-04    100066.247473
2022-01-05     99813.766105
2022-01-06     99489.099699
2022-01-07     99375.966503
                  ...      
2023-12-22     85791.965902
2023-12-26     85973.718354
2023-12-27     85991.872209
2023-12-28     85973.440415
2023-12-29     85955.537643
Length: 501, dtype: float64"
130,naive,A2C,Group2,"2022-01-03    100000.000000
2022-01-04     99707.365467
2022-01-05     97929.853310
2022-01-06     97991.810109
2022-01-07     97929.134714
                  ...      
2023-12-22     97851.231436
2023-12-26     98230.222589
2023-12-27     98326.031507
2023-12-28     98468.370885
2023-12-29     98370.935390
Length: 501, dtype: float64"
