iteration,strategy,rl_model,data_group,portfolio_values
144,baseline,PPO,Group1,"2022-01-03    100000.000000
2022-01-04     99583.259133
2022-01-05     98686.560011
2022-01-06     98823.107567
2022-01-07     98625.961036
                  ...      
2023-12-22     85473.851291
2023-12-26     85568.176908
2023-12-27     85561.931137
2023-12-28     85653.347036
2023-12-29     85568.269177
Length: 501, dtype: float64"
144,baseline,PPO,Group2,"2022-01-03    100000.000000
2022-01-04    100320.482565
2022-01-05     99829.501108
2022-01-06     99596.022585
2022-01-07     99701.762014
                  ...      
2023-12-22     78737.055994
2023-12-26     79298.740342
2023-12-27     79284.885855
2023-12-28     79311.271240
2023-12-29     79301.483872
Length: 501, dtype: float64"
144,baseline,A2C,Group1,"2022-01-03    100000.000000
2022-01-04     99259.918247
2022-01-05     98078.594093
2022-01-06     98153.821756
2022-01-07     97680.909401
                  ...      
2023-12-22     94450.155196
2023-12-26     94612.347094
2023-12-27     94617.843707
2023-12-28     94743.666266
2023-12-29     94649.259961
Length: 501, dtype: float64"
144,baseline,A2C,Group2,"2022-01-03    100000.000000
2022-01-04    100111.548457
2022-01-05     99443.282269
2022-01-06     98931.980145
2022-01-07     98907.834844
                  ...      
2023-12-22     96074.515326
2023-12-26     96778.098754
2023-12-27     96871.313683
2023-12-28     96940.634436
2023-12-29     96861.088535
Length: 501, dtype: float64"
144,baseline,DDPG,Group1,"2022-01-03    100000.000000
2022-01-04     98780.599661
2022-01-05     97478.942857
2022-01-06     97521.388407
2022-01-07     97427.555265
                  ...      
2023-12-22     95213.735884
2023-12-26     95402.621481
2023-12-27     95486.152657
2023-12-28     95635.873167
2023-12-29     95574.083078
Length: 501, dtype: float64"
144,baseline,DDPG,Group2,"2022-01-03    100000.000000
2022-01-04    100422.783534
2022-01-05     99142.105613
2022-01-06     98702.540281
2022-01-07     98690.517827
                  ...      
2023-12-22    102463.768762
2023-12-26    103039.165920
2023-12-27    103139.099598
2023-12-28    103214.922343
2023-12-29    103150.128659
Length: 501, dtype: float64"
144,naive,PPO,Group1,"2022-01-03    100000.000000
2022-01-04     99034.834176
2022-01-05     98292.741241
2022-01-06     98336.010888
2022-01-07     98263.341027
                  ...      
2023-12-22     76810.947597
2023-12-26     76904.663958
2023-12-27     76950.404476
2023-12-28     77044.052000
2023-12-29     76943.395350
Length: 501, dtype: float64"
144,naive,PPO,Group2,"2022-01-03    100000.000000
2022-01-04    100051.714291
2022-01-05     99441.284876
2022-01-06     98901.029015
2022-01-07     99102.159785
                  ...      
2023-12-22     83652.715974
2023-12-26     84114.103194
2023-12-27     84194.056544
2023-12-28     84262.944691
2023-12-29     84211.191893
Length: 501, dtype: float64"
144,naive,A2C,Group1,"2022-01-03    100000.000000
2022-01-04     99447.982934
2022-01-05     98332.244665
2022-01-06     98244.595259
2022-01-07     97930.556361
                  ...      
2023-12-22     87991.792794
2023-12-26     88123.902427
2023-12-27     88099.124499
2023-12-28     88215.019027
2023-12-29     88121.453251
Length: 501, dtype: float64"
144,naive,A2C,Group2,"2022-01-03    100000.000000
2022-01-04    100313.002300
2022-01-05     99892.664390
2022-01-06     99212.921435
2022-01-07     99123.252229
                  ...      
2023-12-22     95072.003277
2023-12-26     95725.461099
2023-12-27     95810.289678
2023-12-28     95930.316564
2023-12-29     95897.732116
Length: 501, dtype: float64"
144,naive,DDPG,Group1,"2022-01-03    100000.000000
2022-01-04     98780.599661
2022-01-05     97478.942857
2022-01-06     97521.388407
2022-01-07     97427.555265
                  ...      
2023-12-22     95213.735884
2023-12-26     95402.621481
2023-12-27     95486.152657
2023-12-28     95635.873167
2023-12-29     95574.083078
Length: 501, dtype: float64"
144,naive,DDPG,Group2,"2022-01-03    100000.000000
2022-01-04    100422.783534
2022-01-05     99142.105613
2022-01-06     98702.540281
2022-01-07     98690.517827
                  ...      
2023-12-22    102463.768762
2023-12-26    103039.165920
2023-12-27    103139.099598
2023-12-28    103214.922343
2023-12-29    103150.128659
Length: 501, dtype: float64"
144,ewc,PPO,Group1,"2022-01-03    100000.000000
2022-01-04     99174.106440
2022-01-05     98783.384749
2022-01-06     98640.854903
2022-01-07     98423.804011
                  ...      
2023-12-22     79840.792152
2023-12-26     79919.174895
2023-12-27     79916.357960
2023-12-28     79979.739399
2023-12-29     79860.375073
Length: 501, dtype: float64"
144,ewc,PPO,Group2,"2022-01-03    100000.000000
2022-01-04    100532.441300
2022-01-05     99657.150358
2022-01-06     99185.826039
2022-01-07     99156.730982
                  ...      
2023-12-22     82324.845067
2023-12-26     82719.088589
2023-12-27     82831.415964
2023-12-28     82934.425944
2023-12-29     82866.732349
Length: 501, dtype: float64"
144,ewc,A2C,Group1,"2022-01-03    100000.000000
2022-01-04     99294.173450
2022-01-05     97819.029535
2022-01-06     98142.670569
2022-01-07     97694.556482
                  ...      
2023-12-22     98659.678107
2023-12-26     98822.113224
2023-12-27     98790.732505
2023-12-28     98737.426292
2023-12-29     98581.256510
Length: 501, dtype: float64"
144,ewc,A2C,Group2,"2022-01-03    100000.000000
2022-01-04    100248.655460
2022-01-05     99724.474932
2022-01-06     99442.171305
2022-01-07     99663.924036
                  ...      
2023-12-22    101104.722242
2023-12-26    101785.261044
2023-12-27    101936.026502
2023-12-28    101998.412009
2023-12-29    101950.176397
Length: 501, dtype: float64"
144,ewc,DDPG,Group1,"2022-01-03    100000.000000
2022-01-04     98780.599661
2022-01-05     97478.942857
2022-01-06     97521.388407
2022-01-07     97427.555265
                  ...      
2023-12-22     95213.735884
2023-12-26     95402.621481
2023-12-27     95486.152657
2023-12-28     95635.873167
2023-12-29     95574.083078
Length: 501, dtype: float64"
144,ewc,DDPG,Group2,"2022-01-03    100000.000000
2022-01-04    100422.783534
2022-01-05     99142.105613
2022-01-06     98702.540281
2022-01-07     98690.517827
                  ...      
2023-12-22    102463.768762
2023-12-26    103039.165920
2023-12-27    103139.099598
2023-12-28    103214.922343
2023-12-29    103150.128659
Length: 501, dtype: float64"
144,replay,PPO,Group1,"2022-01-03    100000.000000
2022-01-04     99419.884103
2022-01-05     98359.026133
2022-01-06     98521.771546
2022-01-07     98441.509690
                  ...      
2023-12-22     81961.189627
2023-12-26     82083.070671
2023-12-27     82095.079208
2023-12-28     82180.452426
2023-12-29     82075.365627
Length: 501, dtype: float64"
144,replay,PPO,Group2,"2022-01-03    100000.000000
2022-01-04    100167.013025
2022-01-05     99590.619660
2022-01-06     99190.565441
2022-01-07     99329.208780
                  ...      
2023-12-22     88462.568087
2023-12-26     88987.253124
2023-12-27     89061.139175
2023-12-28     89122.268977
2023-12-29     89127.203725
Length: 501, dtype: float64"
144,replay,A2C,Group1,"2022-01-03    100000.000000
2022-01-04     99545.595777
2022-01-05     98417.582709
2022-01-06     98663.236940
2022-01-07     98258.589979
                  ...      
2023-12-22     97462.203164
2023-12-26     97613.987250
2023-12-27     97591.087809
2023-12-28     97696.204362
2023-12-29     97616.058570
Length: 501, dtype: float64"
144,replay,A2C,Group2,"2022-01-03    100000.000000
2022-01-04    100196.249742
2022-01-05     99598.588808
2022-01-06     99255.655256
2022-01-07     99260.691142
                  ...      
2023-12-22    104001.451705
2023-12-26    104435.100519
2023-12-27    104587.402194
2023-12-28    104662.191465
2023-12-29    104608.579449
Length: 501, dtype: float64"
144,replay,DDPG,Group1,"2022-01-03    100000.000000
2022-01-04     98780.599661
2022-01-05     97478.942857
2022-01-06     97521.388407
2022-01-07     97427.555265
                  ...      
2023-12-22     95213.735884
2023-12-26     95402.621481
2023-12-27     95486.152657
2023-12-28     95635.873167
2023-12-29     95574.083078
Length: 501, dtype: float64"
144,replay,DDPG,Group2,"2022-01-03    100000.000000
2022-01-04    100422.783534
2022-01-05     99142.105613
2022-01-06     98702.540281
2022-01-07     98690.517827
                  ...      
2023-12-22    102463.768762
2023-12-26    103039.165920
2023-12-27    103139.099598
2023-12-28    103214.922343
2023-12-29    103150.128659
Length: 501, dtype: float64"
