iteration,strategy,rl_model,data_group,portfolio_values
115,baseline,PPO,Group1,"2022-01-03    100000.000000
2022-01-04    100309.634179
2022-01-05     99746.761864
2022-01-06     99874.811859
2022-01-07    100081.795509
                  ...      
2023-12-22     80785.666725
2023-12-26     81165.501656
2023-12-27     81254.102207
2023-12-28     81148.685124
2023-12-29     81006.981776
Length: 501, dtype: float64"
115,baseline,PPO,Group2,"2022-01-03    100000.000000
2022-01-04     99352.319761
2022-01-05     98170.948790
2022-01-06     97920.702574
2022-01-07     97763.623636
                  ...      
2023-12-22     88091.198732
2023-12-26     88201.618837
2023-12-27     88253.444455
2023-12-28     88487.041972
2023-12-29     88512.707902
Length: 501, dtype: float64"
115,baseline,A2C,Group1,"2022-01-03    100000.000000
2022-01-04    100354.752870
2022-01-05    100196.028668
2022-01-06    100177.363072
2022-01-07    100552.969038
                  ...      
2023-12-22     77068.453961
2023-12-26     77492.158673
2023-12-27     77621.129786
2023-12-28     77545.725623
2023-12-29     77367.969082
Length: 501, dtype: float64"
115,baseline,A2C,Group2,"2022-01-03    100000.000000
2022-01-04     98890.794759
2022-01-05     97418.818002
2022-01-06     97133.972726
2022-01-07     97102.825529
                  ...      
2023-12-22     84250.211221
2023-12-26     84400.624024
2023-12-27     84404.183459
2023-12-28     84584.806408
2023-12-29     84545.391064
Length: 501, dtype: float64"
115,baseline,DDPG,Group1,"2022-01-03    100000.000000
2022-01-04    100695.856928
2022-01-05    100427.805334
2022-01-06    100644.451133
2022-01-07    100964.378094
                  ...      
2023-12-22     92549.828595
2023-12-26     93000.375117
2023-12-27     93098.055525
2023-12-28     93110.810342
2023-12-29     92995.988869
Length: 501, dtype: float64"
115,baseline,DDPG,Group2,"2022-01-03    100000.000000
2022-01-04     99074.648693
2022-01-05     97549.166550
2022-01-06     97311.304225
2022-01-07     97044.191051
                  ...      
2023-12-22    107520.707650
2023-12-26    107680.903217
2023-12-27    107732.082150
2023-12-28    108009.428261
2023-12-29    107970.378262
Length: 501, dtype: float64"
115,naive,PPO,Group1,"2022-01-03    100000.000000
2022-01-04    100917.079416
2022-01-05    100383.482537
2022-01-06    100543.336908
2022-01-07    100768.832822
                  ...      
2023-12-22     81476.846045
2023-12-26     81916.648337
2023-12-27     81998.940050
2023-12-28     81912.205203
2023-12-29     81773.335358
Length: 501, dtype: float64"
115,naive,PPO,Group2,"2022-01-03    100000.000000
2022-01-04     99169.926948
2022-01-05     98160.994561
2022-01-06     97695.820738
2022-01-07     97592.939661
                  ...      
2023-12-22     90730.878273
2023-12-26     90803.221610
2023-12-27     90843.318573
2023-12-28     91076.849318
2023-12-29     91042.608322
Length: 501, dtype: float64"
115,naive,A2C,Group1,"2022-01-03    100000.000000
2022-01-04    100095.176170
2022-01-05     99742.319627
2022-01-06     99899.305321
2022-01-07    100163.919265
                  ...      
2023-12-22     78990.070069
2023-12-26     79379.990479
2023-12-27     79488.615078
2023-12-28     79471.175173
2023-12-29     79371.165107
Length: 501, dtype: float64"
115,naive,A2C,Group2,"2022-01-03    100000.000000
2022-01-04     99074.250279
2022-01-05     97799.269426
2022-01-06     97263.581951
2022-01-07     97006.174065
                  ...      
2023-12-22     98582.770595
2023-12-26     98687.828941
2023-12-27     98732.570937
2023-12-28     98997.575911
2023-12-29     99041.210627
Length: 501, dtype: float64"
115,naive,DDPG,Group1,"2022-01-03    100000.000000
2022-01-04    100695.856928
2022-01-05    100427.805334
2022-01-06    100644.451133
2022-01-07    100964.378094
                  ...      
2023-12-22     92549.828595
2023-12-26     93000.375117
2023-12-27     93098.055525
2023-12-28     93110.810342
2023-12-29     92995.988869
Length: 501, dtype: float64"
115,naive,DDPG,Group2,"2022-01-03    100000.000000
2022-01-04     99074.648693
2022-01-05     97549.166550
2022-01-06     97311.304225
2022-01-07     97044.191051
                  ...      
2023-12-22    107520.707650
2023-12-26    107680.903217
2023-12-27    107732.082150
2023-12-28    108009.428261
2023-12-29    107970.378262
Length: 501, dtype: float64"
