iteration,strategy,rl_model,data_group,portfolio_values
108,baseline,PPO,Group1,"2022-01-03    100000.000000
2022-01-04    100462.899070
2022-01-05     99391.850923
2022-01-06     99721.620422
2022-01-07     99627.761833
                  ...      
2023-12-22     89427.685316
2023-12-26     89868.774047
2023-12-27     89832.413129
2023-12-28     89646.375964
2023-12-29     89559.006588
Length: 501, dtype: float64"
108,baseline,PPO,Group2,"2022-01-03    100000.000000
2022-01-04     99609.000038
2022-01-05     99059.205402
2022-01-06     98303.988158
2022-01-07     98101.934639
                  ...      
2023-12-22     81435.675620
2023-12-26     81546.700355
2023-12-27     81643.579690
2023-12-28     81811.823706
2023-12-29     81647.364503
Length: 501, dtype: float64"
108,baseline,A2C,Group1,"2022-01-03    100000.000000
2022-01-04    100621.515469
2022-01-05    100119.230454
2022-01-06    100265.588783
2022-01-07    100368.714929
                  ...      
2023-12-22     81685.845291
2023-12-26     82085.679668
2023-12-27     82048.685891
2023-12-28     81922.956116
2023-12-29     81827.094972
Length: 501, dtype: float64"
108,baseline,A2C,Group2,"2022-01-03    100000.000000
2022-01-04     99863.429813
2022-01-05     99098.488657
2022-01-06     98446.345586
2022-01-07     98290.859060
                  ...      
2023-12-22     85201.583519
2023-12-26     85372.119067
2023-12-27     85518.452433
2023-12-28     85663.778913
2023-12-29     85530.321302
Length: 501, dtype: float64"
108,baseline,DDPG,Group1,"2022-01-03    100000.000000
2022-01-04    100472.122272
2022-01-05     99205.167091
2022-01-06     99711.679025
2022-01-07     99767.522607
                  ...      
2023-12-22    106973.752349
2023-12-26    107553.335630
2023-12-27    107499.515649
2023-12-28    107463.941095
2023-12-29    107451.134321
Length: 501, dtype: float64"
108,baseline,DDPG,Group2,"2022-01-03    100000.000000
2022-01-04     99328.000066
2022-01-05     98733.529090
2022-01-06     97823.447996
2022-01-07     97504.307736
                  ...      
2023-12-22     93648.125753
2023-12-26     93818.890220
2023-12-27     94081.733686
2023-12-28     94280.360817
2023-12-29     94324.792435
Length: 501, dtype: float64"
108,naive,PPO,Group1,"2022-01-03    100000.000000
2022-01-04    100039.634047
2022-01-05     99069.052056
2022-01-06     99318.651980
2022-01-07     99452.022598
                  ...      
2023-12-22     85311.979594
2023-12-26     85880.638469
2023-12-27     85837.911267
2023-12-28     85706.753554
2023-12-29     85613.253659
Length: 501, dtype: float64"
108,naive,PPO,Group2,"2022-01-03    100000.000000
2022-01-04     99407.745369
2022-01-05     98883.194519
2022-01-06     98022.476573
2022-01-07     97980.631095
                  ...      
2023-12-22     79441.613907
2023-12-26     79564.991762
2023-12-27     79648.398108
2023-12-28     79778.967891
2023-12-29     79709.099959
Length: 501, dtype: float64"
108,naive,A2C,Group1,"2022-01-03    100000.000000
2022-01-04    100460.026655
2022-01-05     99653.981860
2022-01-06    100029.722504
2022-01-07     99973.253555
                  ...      
2023-12-22     88172.961318
2023-12-26     88742.413983
2023-12-27     88661.643928
2023-12-28     88602.746207
2023-12-29     88547.458352
Length: 501, dtype: float64"
108,naive,A2C,Group2,"2022-01-03    100000.000000
2022-01-04     99606.510867
2022-01-05     99278.397712
2022-01-06     98697.116234
2022-01-07     98734.377271
                  ...      
2023-12-22     81938.841070
2023-12-26     82049.076270
2023-12-27     82203.131570
2023-12-28     82360.631746
2023-12-29     82306.743343
Length: 501, dtype: float64"
108,naive,DDPG,Group1,"2022-01-03    100000.000000
2022-01-04    100472.122272
2022-01-05     99205.167091
2022-01-06     99711.679025
2022-01-07     99767.522607
                  ...      
2023-12-22    106973.752349
2023-12-26    107553.335630
2023-12-27    107499.515649
2023-12-28    107463.941095
2023-12-29    107451.134321
Length: 501, dtype: float64"
